row_label_raw,row_label_full,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,31/12/2023 > Giá gốc VND,31/12/2023 > Dự phòng VND,31/12/2023 > Giá trị hợp lý VND,% sở hữu_1,% quyền biểu quyết_1,1/1/2023 > Giá gốc VND,1/1/2023 > Dự phòng VND,1/1/2023 > Giá trị hợp lý VND,col_13,numeric__Tên Công ty,numeric__Địa chỉ,numeric__% sở hữu,numeric__% quyền biểu quyết,numeric__31/12/2023 > Giá gốc VND,numeric__31/12/2023 > Dự phòng VND,numeric__31/12/2023 > Giá trị hợp lý VND,numeric__% sở hữu_1,numeric__% quyền biểu quyết_1,numeric__1/1/2023 > Giá gốc VND,numeric__1/1/2023 > Dự phòng VND,numeric__1/1/2023 > Giá trị hợp lý VND,numeric__col_13
1,1,1,Tổng Công ty Vận tải thủy Petrolimex,Hà Nội,100%,100%,2.196.550.463.185,,-,(*),100%,100%,2.196.550.463.185,-,(*),,,1.0,1.0,2196550463185.0,,,,1.0,1.0,2196550463185.0,,
1,1,1,Công ty TNHH Liên doanh Kho Ngoại quan,Khánh,,,,,,,,,,,,,,,,,,,,,,,,
2,1 > 2,2,Xăng dầu Văn Phong,Hòa,85%,85%,629.755.076.565,,-,(*),85%,85%,629.755.076.565,-,(*),,,0.85,0.85,629755076565.0,,,,0.85,0.85,629755076565.0,,
3,1 > 3,3,Tổng Công ty Hóa dầu Petrolimex - CTCP,Hà Nội,79%,79%,570.562.500.000,,-,1.980.567.029.000,79%,79%,570.562.500.000,-,1.437.508.327.500,,,0.79,0.79,570562500000.0,,,1980567029000.0,0.79,0.79,570562500000.0,,1437508327500.0
4,1 > 4,4,Tổng Công ty Dịch vụ Xăng dầu Petrolimex,Hà Nội,100%,100%,316.568.434.951,,-,(*),100%,100%,316.568.434.951,-,(*),,,1.0,1.0,316568434951.0,,,,1.0,1.0,316568434951.0,,
5,1 > 5,5,Tổng Công ty Gas Petrolimex - CTCP,Hà Nội,52%,52%,306.662.738.200,,-,466.163.410.250,52%,52%,306.662.738.200,-,537.273.083.000,,,0.52,0.52,306662738200.0,,,466163410250.0,0.52,0.52,306662738200.0,,537273083000.0
6,1 > 6,6,Công ty TNHH MTV Petrolimex Singapore,Singapore,100%,100%,287.897.418.502,,-,(*),100%,100%,287.897.418.502,-,(*),,,1.0,1.0,287897418502.0,,,,1.0,1.0,287897418502.0,,
7,1 > 7,7,Công ty Cổ phần Nhiên liệu bay Petrolimex,Hà Nội,59%,59%,88.500.000.000,,-,(*),59%,59%,88.500.000.000,-,(*),,,0.59,0.59,88500000000.0,,,,0.59,0.59,88500000000.0,,
8,1 > 8,8,Công ty TNHH MTV Petrolimex Lào,Lào,100%,100%,68.162.068.617,(68.162.068.617),,(*),100%,100%,68.162.068.617,(68.162.068.617),(*),,,1.0,1.0,68162068617.0,-68162068617.0,,,1.0,1.0,68162068617.0,-68162068617.0,
8,1 > 8,8,Công ty Cổ phần Tổng Công ty Xây lắp và Thương mại Petrolimex,Hà Nội,100%,100%,402.820.800.000,,-,(*),100%,100%,402.820.800.000,-,(*),,,1.0,1.0,402820800000.0,,,,1.0,1.0,402820800000.0,,
