row_label_raw,row_label_full,"Đầu tư góp vốn vào các công ty liên doanh, liên kết","Đầu tư góp vốn vào các công ty liên doanh, liên kết_1","Đầu tư góp vốn vào các công ty liên doanh, liên kết_2","Đầu tư góp vốn vào các công ty liên doanh, liên kết_3","Đầu tư góp vốn vào các công ty liên doanh, liên kết_4","Đầu tư góp vốn vào các công ty liên doanh, liên kết_5","Đầu tư góp vốn vào các công ty liên doanh, liên kết_6","Đầu tư góp vốn vào các công ty liên doanh, liên kết_7","Đầu tư góp vốn vào các công ty liên doanh, liên kết_8","Đầu tư góp vốn vào các công ty liên doanh, liên kết_9","Đầu tư góp vốn vào các công ty liên doanh, liên kết_10","Đầu tư góp vốn vào các công ty liên doanh, liên kết_11","Đầu tư góp vốn vào các công ty liên doanh, liên kết_12","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_1","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_2","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_3","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_4","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_5","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_6","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_7","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_8","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_9","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_10","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_11","numeric__Đầu tư góp vốn vào các công ty liên doanh, liên kết_12"
,,,,,,,31/12/2023,31/12/2023,,,,1/1/2023,1/1/2023,,,,,,,,,,,,,
STT,STT,STT,Tên Công ty,Địa chỉ,% sở hữu,% quyền biểu quyết,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,% sở hữu,% quyền biểu quyết,Giá gốc VND,Dự phòng VND,Giá trị hợp lý VND,,,,,,,,,,,,
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,Hồ Chí Minh,35%,35%,169.426.717.325,-,(*),35%,35%,169.426.717.325,-,(*),,,0.35,0.35,169426717325.0,,,0.35,0.35,169426717325.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Tổng Công ty Cổ phần Bảo hiểm Petrolimex (i),Hà Nội,41%,41%,361.849.067.685,-,1.076.222.403.600,41%,41%,361.849.067.685,-,1.216.994.110.400,,,0.41,0.41,361849067685.0,,1076222403600.0,0.41,0.41,361849067685.0,,1216994110400.0
2,Công ty liên kết > 2,2,Công ty Cổ phần Dịch vụ Dương cao tốc Việt Nam,Hà Nội,22%,22%,20.000.000.000,(6.966.666.667),(*),22%,22%,20.000.000.000,(6.746.666.667),(*),,,0.22,0.22,20000000000.0,-6966666667.0,,0.22,0.22,20000000000.0,-6746666667.0,
3,Công ty liên kết > 3,3,Ngân hàng TMCP Xăng dầu Petrolimex (ii),Hà Nội,-,-,-,-,-,40%,40%,1.077.957.925.515,-,1.914.000.000.000,,,,,,,,0.4,0.4,1077957925515.0,,1914000000000.0
4,Công ty liên kết > 4,4,Công ty Cổ phần Thương mại Tuyên Quang,Tuyên Quang,-,-,-,-,-,28%,28%,891.808.000,-,(*),,,,,,,,0.28,0.28,891808000.0,,
,,,,,,,551.275.785.010,(6.966.666.667),,,,1.630.125.518.525,(6.746.666.667),,,,,,551275785010.0,-6966666667.0,,,,1630125518525.0,-6746666667.0,
