row_label_raw,row_label_full,"TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)","TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1,"numeric__TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","numeric__TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","numeric__TỔNG CỔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIỂP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1
34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),34. BẢO CÁO BỘ PHẠN (TIỂP),,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.118.340.812.353,3.641.499.467.136,304.306.595.354,6.064.146.874.843,,2118340812353.0,3641499467136.0,304306595354.0,6064146874843.0,
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,,,,-,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,2.118.340.812.353,3.641.499.467.136,304.306.595.354,6.064.146.874.843,,2118340812353.0,3641499467136.0,304306595354.0,6064146874843.0,
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.016.798.630.872,327.322.201.099,84.720.428.065,1.428.841.260.036,,1016798630872.0,327322201099.0,84720428065.0,1428841260036.0,
Các chỉ phí không phân bổ theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Các chỉ phí không phân bổ theo bộ phận,Các chỉ phí không phân bổ theo bộ phận,,,,(331.389.135.725),,,,,-331389135725.0,
Lợi nhuận từ hoạt động kinh doanh,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,1.097.452.124.311,,,,,1097452124311.0,
Doanh thu hoạt động tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,227.472.182.555,,,,,227472182555.0,
Chi phí tài chính,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí tài chính,Chi phí tài chính,,,,(755.938.154.237),,,,,-755938154237.0,
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,142.422.257.476,,,,,142422257476.0,
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,70.543.063.030,,,,,70543063030.0,
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(67.624.320.500),,,,,-67624320500.0,
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(123.086.499.760),,,,,-123086499760.0,
