row_label_raw,row_label_full,"TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_2","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_3",Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất),Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1,"numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_2","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trải, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_3",numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất),numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BẢO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Bảo cáo tài chính hợp nhất)_1
19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,,,,,
,,,01/01/2022,Số phải nộp trong năm,Số đã thực nộp/khẩu trừ trong năm,31/12/2022,31/12/2022,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,Thuế và các khoản phải nộp,,,,,
- Thuế giá trị gia tăng phải nộp,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng phải nộp,- Thuế giá trị gia tăng phải nộp,135.484.604.212,222.978.815.686,233.760.286.381,124.703.133.517,124.703.133.517,135484604212.0,222978815686.0,233760286381.0,124703133517.0,124703133517.0
- Thuế giá trị gia tăng hàng nhập khẩu,Thuế và các khoản phải nộp > - Thuế giá trị gia tăng hàng nhập khẩu,- Thuế giá trị gia tăng hàng nhập khẩu,-,1.851.345.285,1.851.345.285,-,-,,1851345285.0,1851345285.0,,
"- Thuế xuất, nhập khẩu","Thuế và các khoản phải nộp > - Thuế xuất, nhập khẩu","- Thuế xuất, nhập khẩu",-,1.089.160.553,1.089.160.553,-,-,,1089160553.0,1089160553.0,,
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải nộp > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,58.674.751.967,350.823.374.790,275.018.738.029,134.479.388.728,134.479.388.728,58674751967.0,350823374790.0,275018738029.0,134479388728.0,134479388728.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,10.730.447.656,13.901.850.483,14.108.809.795,10.523.488.344,10.523.488.344,10730447656.0,13901850483.0,14108809795.0,10523488344.0,10523488344.0
- Thuế tài nguyên,Thuế và các khoản phải nộp > - Thuế tài nguyên,- Thuế tài nguyên,21.126.764.493,214.072.502.628,217.995.742.160,17.203.524.961,17.203.524.961,21126764493.0,214072502628.0,217995742160.0,17203524961.0,17203524961.0
"- Thuế nhà đất, tiền thuê đất","Thuế và các khoản phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",1.282.295.150,20.747.042.145,20.356.996.378,1.672.340.917,1.672.340.917,1282295150.0,20747042145.0,20356996378.0,1672340917.0,1672340917.0
- Thuế bảo vệ môi trường,Thuế và các khoản phải nộp > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,115.481.683,5.000.000,5.000.000,115.481.683,115.481.683,115481683.0,5000000.0,5000000.0,115481683.0,115481683.0
- Các loại thuế khác,Thuế và các khoản phải nộp > - Các loại thuế khác,- Các loại thuế khác,4.799.504.716,27.104.195.137,27.699.601.201,4.204.098.652,4.204.098.652,4799504716.0,27104195137.0,27699601201.0,4204098652.0,4204098652.0
"- Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải nộp > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",17.160.166.720,38.554.483.722,26.125.719.864,29.588.930.578,29.588.930.578,17160166720.0,38554483722.0,26125719864.0,29588930578.0,29588930578.0
