row_label_raw,row_label_full,"TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),"numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2","numeric__TỔNG CÔNG TY SÔNG ĐÀ - CTCPNhà G10, số 493 đường Nguyễn Trãi, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3",numeric__Mẫu số B09-DN/HNBan hành theo thông tư số 202/20214/TT-BTCngày 22/12/2014 của Bộ tài chính > THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)
,,,Sản xuất Công nghiệp,Xây lắp,Các lĩnh vực khác,Cộng,,,,
Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nayDoanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.591.575.609.428,2.607.809.379.477,228.870.532.193,5.428.255.521.098,2591575609428.0,2607809379477.0,228870532193.0,5428255521098.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phậnTổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phậnTổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phậnTổng doanh thu thuần về bán hàng và cung cấp dịch vụ,2.591.575.609.428,2.607.809.379.477,228.870.532.193,5.428.255.521.098,2591575609428.0,2607809379477.0,228870532193.0,5428255521098.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.372.664.512.957,220.890.195.048,78.289.091.697,1.671.843.799.702,1372664512957.0,220890195048.0,78289091697.0,1671843799702.0
Các chi phí không phân bổ theo bộ phậnLợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phậnLợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phậnLợi nhuận từ hoạt động kinh doanh,,,,(2.359.196.901.337)(687.353.101.635),,,,
Doanh thu hoạt động tải chính,Các chi phí không phân bổ theo bộ phậnLợi nhuận từ hoạt động kinh doanh > Doanh thu hoạt động tải chính,Doanh thu hoạt động tải chính,,,,3.556.748.402.817,,,,3556748402817.0
"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết","Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết","Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,(904.793.301.070)277.426.119.952,,,,
Thu nhập khác,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Thu nhập khác",Thu nhập khác,,,,41.950.988.470,,,,41950988470.0
Chi phí khác,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí khác",Chi phí khác,,,,(108.082.182.262),,,,-108082182262.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hiện hành",Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(334.846.215.803),,,,-334846215803.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Chi phí thuế thu nhập doanh nghiệp hoãn lại",Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,(24.534.466.191),,,,-24534466191.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Lợi nhuận sau thuế thu nhập doanh nghiệp",Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,1.816.516.244.278,,,,1816516244278.0
Tài sản không phân bổ,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Tài sản không phân bổ",Tài sản không phân bổ,,,,23.670.426.007.071,,,,23670426007071.0
Nợ phải trả không phân bổ,"Chi phí tải chínhPhần lãi hoặc lỗ trong công ty liên doanh, liên kết > Nợ phải trả không phân bổ",Nợ phải trả không phân bổ,,,,14.547.325.664.273,,,,14547325664273.0
