row_label_raw,row_label_full,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4,14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_5,numeric__14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_1,numeric__14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_2,numeric__14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_3,numeric__14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_4,numeric__14. TÀI SẢN CÓ ĐỊNH VÔ HÌNH_5
,,,Quyềnsử dụng đấtVND,Thương hiệuSông ĐàVND,Phần mềmmáy vi tínhVND,TSCĐvô hình khácVND,CộngVND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
01/01/2022,NGUYÊN GIÁ > 01/01/2022,01/01/2022,8.349.978.200,1.104.763.000,4.452.655.923,190.000.000,14.097.397.123,8349978200.0,1104763000.0,4452655923.0,190000000.0,14097397123.0
- Mua trong năm,- Mua trong năm,- Mua trong năm,-,-,-,-,-,,,,,
31/12/2022,- Mua trong năm > 31/12/2022,31/12/2022,8.349.978.200,1.104.763.000,4.452.655.923,190.000.000,14.097.397.123,8349978200.0,1104763000.0,4452655923.0,190000000.0,14097397123.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,
01/01/2022,GIÁ TRỊ HAO MÒN > 01/01/2022,01/01/2022,(337.478.200),(1.104.763.000),(4.262.489.242),(174.166.685),(5.878.897.127),-337478200.0,-1104763000.0,-4262489242.0,-174166685.0,-5878897127.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,-,-,(150.526.662),(15.833.315),(166.359.977),,,-150526662.0,-15833315.0,-166359977.0
31/12/2022,GIÁ TRỊ HAO MÒN > 31/12/2022,31/12/2022,(337.478.200),(1.104.763.000),(4.413.015.904),(190.000.000),(6.045.257.104),-337478200.0,-1104763000.0,-4413015904.0,-190000000.0,-6045257104.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
01/01/2022,GIÁ TRỊ CÒN LẠI > 01/01/2022,01/01/2022,8.012.500.000,-,190.166.681,15.833.315,8.218.499.996,8012500000.0,,190166681.0,15833315.0,8218499996.0
31/12/2022,GIÁ TRỊ CÒN LẠI > 31/12/2022,31/12/2022,8.012.500.000,-,39.640.019,-,8.052.140.019,8012500000.0,,39640019.0,,8052140019.0
