row_label_raw,row_label_full,Nội dung,31/12/2022 > Giá trị,31/12/2022 > Số có khả năng trả nợ,01/01/2022 > Giá trị,01/01/2022 > Số có khả năng trả nợ,numeric__31/12/2022 > Giá trị,numeric__31/12/2022 > Số có khả năng trả nợ,numeric__01/01/2022 > Giá trị,numeric__01/01/2022 > Số có khả năng trả nợ
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,3.716.358.364.719,3.716.358.364.719,4.634.835.760.403,4.634.835.760.403,3716358364719.0,3716358364719.0,4634835760403.0,4634835760403.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.637.710.447.849,1.637.710.447.849,2.345.864.511.274,2.345.864.511.274,1637710447849.0,1637710447849.0,2345864511274.0,2345864511274.0
Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,Vay các tổ chức và cá nhân khác,27.937.882.082,27.937.882.082,28.131.917.842,28.131.917.842,27937882082.0,27937882082.0,28131917842.0,28131917842.0
Vay dài hạn đến hạn trả (thời hạn dưới 1 năm),Vay dài hạn đến hạn trả (thời hạn dưới 1 năm),Vay dài hạn đến hạn trả (thời hạn dưới 1 năm),2.050.710.034.788,2.050.710.034.788,2.260.839.331.287,2.260.839.331.287,2050710034788.0,2050710034788.0,2260839331287.0,2260839331287.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.025.890.621.962,2.025.890.621.962,2.238.994.693.301,2.238.994.693.301,2025890621962.0,2025890621962.0,2238994693301.0,2238994693301.0
Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,Nợ thuê tài chính đến hạn trả,24.819.412.826,24.819.412.826,21.844.637.986,21.844.637.986,24819412826.0,24819412826.0,21844637986.0,21844637986.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,4.278.881.025.473,4.278.881.025.473,5.434.411.949.737,5.434.411.949.737,4278881025473.0,4278881025473.0,5434411949737.0,5434411949737.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,4.253.771.603.034,4.253.771.603.034,4.735.310.516.443,4.735.310.516.443,4253771603034.0,4253771603034.0,4735310516443.0,4735310516443.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,25.109.422.439,25.109.422.439,19.101.433.293,19.101.433.293,25109422439.0,25109422439.0,19101433293.0,19101433293.0
Trái phiếu thông thường,Trái phiếu thông thường,Trái phiếu thông thường,-,-,680.000.000.000,680.000.000.000,,,680000000000.0,680000000000.0
Cộng,Cộng,Cộng,7.995.239.390.192,7.995.239.390.192,10.069.247.710.140,10.069.247.710.140,7995239390192.0,7995239390192.0,10069247710140.0,10069247710140.0
