row_label_raw,row_label_full,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5,numeric__13. TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6
,,,Nhà cửa vật kiến trúc,Máy móc thiết bị,"Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,TSCĐ HH khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,VND,VND,VND,VND,VND,VND,,,,,,
01/01/2022,NGUYÊN GIÁ > 01/01/2022,01/01/2022,9.429.404.317.291,7.026.258.531.886,1.020.999.017.706,31.839.213.587,272.982.785.287,17.781.483.865.757,9429404317291.0,7026258531886.0,1020999017706.0,31839213587.0,272982785287.0,17781483865757.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,149.663.704,27.491.515.624,3.205.309.096,811.379.454,123.840.000,31.781.707.878,149663704.0,27491515624.0,3205309096.0,811379454.0,123840000.0,31781707878.0
- Đầu tư XDCB,NGUYÊN GIÁ > - Đầu tư XDCB,- Đầu tư XDCB,2.927.167.764,-,-,-,501.070.000,3.428.237.764,2927167764.0,,,,501070000.0,3428237764.0
- Mua lại tài sản thuê tài chính,NGUYÊN GIÁ > - Mua lại tài sản thuê tài chính,- Mua lại tài sản thuê tài chính,-,25.411.000.319,9.908.056.820,-,-,35.319.057.139,,25411000319.0,9908056820.0,,,35319057139.0
- Phân loại lại,NGUYÊN GIÁ > - Phân loại lại,- Phân loại lại,(18.626.110.608),(738.775.331),19.364.885.939,-,-,-,-18626110608.0,-738775331.0,19364885939.0,,,
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(102.052.455.905),(15.315.160.894),(611.613.400),-,(117.979.230.199),,-102052455905.0,-15315160894.0,-611613400.0,,-117979230199.0
31/12/2022,NGUYÊN GIÁ > 31/12/2022,31/12/2022,9.413.855.038.151,6.976.369.816.593,1.038.162.108.667,32.038.979.641,273.607.695.287,17.734.033.638.339,9413855038151.0,6976369816593.0,1038162108667.0,32038979641.0,273607695287.0,17734033638339.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,,,,
01/01/2022,HAO MÔN LỦY KẾ > 01/01/2022,01/01/2022,(3.275.466.046.814),(4.717.194.575.777),(849.626.502.167),(28.318.000.508),(88.576.586.944),(8.959.181.712.210),-3275466046814.0,-4717194575777.0,-849626502167.0,-28318000508.0,-88576586944.0,-8959181712210.0
- Khấu hao trong năm,HAO MÔN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,(182.490.675.822),(422.557.317.066),(35.589.066.987),(1.505.695.481),(11.495.078.398),(653.637.833.754),-182490675822.0,-422557317066.0,-35589066987.0,-1505695481.0,-11495078398.0,-653637833754.0
- Mua lại tài sản thuê tài chính,HAO MÔN LỦY KẾ > - Mua lại tài sản thuê tài chính,- Mua lại tài sản thuê tài chính,-,(18.318.716.765),(9.605.622.793),-,-,(27.924.339.558),,-18318716765.0,-9605622793.0,,,-27924339558.0
- Phân loại lại,HAO MÔN LỦY KẾ > - Phân loại lại,- Phân loại lại,(17.691.027.605),25.261.226,17.665.766.379,-,-,-,-17691027605.0,25261226.0,17665766379.0,,,
"- Thanh lý, nhượng bán","HAO MÔN LỦY KẾ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,100.559.354.910,14.504.416.235,611.458.039,-,115.675.229.184,,100559354910.0,14504416235.0,611458039.0,,115675229184.0
31/12/2022,HAO MÔN LỦY KẾ > 31/12/2022,31/12/2022,(3.475.647.750.241),(5.057.485.993.472),(862.651.009.333),(29.212.237.950),(100.071.665.342),(9.525.068.656.338),-3475647750241.0,-5057485993472.0,-862651009333.0,-29212237950.0,-100071665342.0,-9525068656338.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
01/01/2022,GIÁ TRỊ CÒN LẠI > 01/01/2022,01/01/2022,6.153.938.270.477,2.309.063.956.109,171.372.515.539,3.521.213.079,184.406.198.343,8.822.302.153.547,6153938270477.0,2309063956109.0,171372515539.0,3521213079.0,184406198343.0,8822302153547.0
31/12/2022,GIÁ TRỊ CÒN LẠI > 31/12/2022,31/12/2022,5.938.207.287.910,1.918.883.823.121,175.511.099.334,2.826.741.691,173.536.029.945,8.208.964.982.001,5938207287910.0,1918883823121.0,175511099334.0,2826741691.0,173536029945.0,8208964982001.0
