row_label_raw,row_label_full,col_0,31/12/2022Giá trịVND,01/01/2022Giá trịVND,numeric__31/12/2022Giá trịVND,numeric__01/01/2022Giá trịVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,324.392.524.402,355.730.441.621,324392524402.0,355730441621.0
Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,Trả trước cho các bên liên quan,10.586.207.081,4.460.575.883,10586207081.0,4460575883.0
Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,Công ty Cổ phần Sông Đà 12,961.835.591,961.835.591,961835591.0,961835591.0
Công ty Cổ phần Cơ khí lắp máy Sông Đà,Công ty Cổ phần Cơ khí lắp máy Sông Đà,Công ty Cổ phần Cơ khí lắp máy Sông Đà,9.624.371.490,3.498.740.292,9624371490.0,3498740292.0
Trả trước cho người bán khác,Trả trước cho người bán khác,Trả trước cho người bán khác,313.806.317.321,351.269.865.738,313806317321.0,351269865738.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,-,-,,
Cộng,b) Dài hạn > Cộng,Cộng,324.392.524.402,355.730.441.621,324392524402.0,355730441621.0
