row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số minh,Thuyết,31/12/2022 VND,01/01/2022 VND,numeric__TÀI SẢN_1,numeric__Mã số minh,numeric__Thuyết,numeric__31/12/2022 VND,numeric__01/01/2022 VND
II.,II.,II.,Tài sản cố định,220,,8.294.931.005.465,8.896.802.855.286,,220.0,,8294931005465.0,8896802855286.0
1.,1.,1.,Tài sản cố định hữu hình,221,13,8.208.964.982.001,8.822.302.153.547,,221.0,13.0,8208964982001.0,8822302153547.0
1.,1.,1.,- Nguyên giá,222,,17.734.033.638.339,17.781.483.865.757,,222.0,,17734033638339.0,17781483865757.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(9.525.068.656.338),(8.959.181.712.210),,223.0,,-9525068656338.0,-8959181712210.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,15,77.913.883.445,66.282.201.743,,224.0,15.0,77913883445.0,66282201743.0
2.,2.,2.,- Nguyên giá,225,,104.184.752.428,102.014.490.682,,225.0,,104184752428.0,102014490682.0
2.,2.,2.,- Giá trị hao mòn lũy kế,226,,(26.270.868.983),(35.732.288.939),,226.0,,-26270868983.0,-35732288939.0
3.,3.,3.,Tài sản cố định vô hình,227,14,8.052.140.019,8.218.499.996,,227.0,14.0,8052140019.0,8218499996.0
3.,3.,3.,- Nguyên giá,228,,14.097.397.123,14.097.397.123,,228.0,,14097397123.0,14097397123.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229,,(6.045.257.104),(5.878.897.127),,229.0,,-6045257104.0,-5878897127.0
III.,III.,III.,Bất động sản đầu tư,230,,-,-,,230.0,,,
III.,III.,III.,- Nguyên giá,231,,-,-,,231.0,,,
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,-,-,,232.0,,,
III.,III.,III.,Tài sản dở dang dài hạn,240,,138.891.934.548,131.872.109.403,,240.0,,138891934548.0,131872109403.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2,2,2,Chi phí xây dựng cơ bản dở dang,242,16,138.891.934.548,131.872.109.403,,242.0,16.0,138891934548.0,131872109403.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,2.512.390.682.276,3.288.079.622.249,,250.0,,2512390682276.0,3288079622249.0
1.,1.,1.,Đầu tư vào công ty con,251,,-,-,,251.0,,,
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,5.3,2.339.324.224.629,2.962.761.962.339,,252.0,53.0,2339324224629.0,2962761962339.0
3.,3.,3.,Đầu tư góp vốn vào các đơn vị khác,253,5.4,280.630.449.626,350.672.468.042,,253.0,54.0,280630449626.0,350672468042.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(108.563.991.979),(26.354.808.132),,254.0,,-108563991979.0,-26354808132.0
5.,5.,5.,Đầu tư nắm giữ đến ngày đáo hạn,255,5.2,1.000.000.000,1.000.000.000,,255.0,52.0,1000000000.0,1000000000.0
V.,V.,V.,Tài sản dài hạn khác,260,,248.210.739.699,283.150.469.858,,260.0,,248210739699.0,283150469858.0
1.,1.,1.,Chi phí trả trước dài hạn,261,12,119.445.644.712,139.691.454.093,,261.0,12.0,119445644712.0,139691454093.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,9.439.004.901,6.676.783.430,,262.0,,9439004901.0,6676783430.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,25.536.325.972,24.234.515.399,,263.0,,25536325972.0,24234515399.0
4.,4.,4.,Tài sản dài hạn khác,268,,-,-,,268.0,,,
5.,5.,5.,Lợi thế thương mại,269,,93.789.764.114,112.547.716.936,,269.0,,93789764114.0,112547716936.0
,,,TỔNG TÀI SẢN,270,,23.670.426.007.071,24.437.110.047.617,,270.0,,23670426007071.0,24437110047617.0
