row_label_raw,row_label_full,Mẫu số B09-DN/HN
Ban hành theo thông tư số 202/20214/TT-BTC,Ban hành theo thông tư số 202/20214/TT-BTC,Ban hành theo thông tư số 202/20214/TT-BTC
ngày 22/12/2014 của Bộ tài chính,ngày 22/12/2014 của Bộ tài chính,ngày 22/12/2014 của Bộ tài chính
