row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm (Trình bày lại),numeric__Số đầu năm (Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,Bất động sản để bán đã hoàn thành,958.748,(9.356),1.681.671,(9.269),958748.0,-9356.0,1681671.0,-9269.0
Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,Bất động sản để bán đang xây dựng,70.581.103,(22.647),48.126.882,(201.474),70581103.0,-22647.0,48126882.0,-201474.0
"Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác","Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác","Hàng hóa siêu thị, cửa hàng tiện dụng và hàng hóa, thành phẩm khác",679.970,-,3.576.493,(52.566),679970.0,,3576493.0,-52566.0
Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,1.182.274,(271.287),14.280,(5.605),1182274.0,-271287.0,14280.0,-5605.0
Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,5.532.541,(587.327),959.970,(109.410),5532541.0,-587327.0,959970.0,-109410.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,5.810.242,(1.091.703),673.262,(121.046),5810242.0,-1091703.0,673262.0,-121046.0
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,772.066,(176.719),528.666,-,772066.0,-176719.0,528666.0,
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,452.808,(1.957),178.310,(12.018),452808.0,-1957.0,178310.0,-12018.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,85.969.752,(2.160.996),55.739.534,(511.388),85969752.0,-2160996.0,55739534.0,-511388.0
