row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: triệu VND > Năm nay > 58.529.123,Đơn vị tính: triệu VND > Năm trước > 37.492.138,numeric__Đơn vị tính: triệu VND > Năm nay > 58.529.123,numeric__Đơn vị tính: triệu VND > Năm trước > 37.492.138
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,23.034.155,8.638.301,23034155.0,8638301.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,60.466.494,49.469.805,60466494.0,49469805.0
Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),(51.578.417),(19.580.139),-51578417.0,-19580139.0
Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),(19.415.370),-,-19415370.0,
Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),(3.908.341),(6.483.883),-3908341.0,-6483883.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(17.608.708),(9.729.966),-17608708.0,-9729966.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(1.461.188),(1.277.133),-1461188.0,-1277133.0
Số cuối năm,Số cuối năm,Số cuối năm,48.057.748,58.529.123,48057748.0,58529123.0
