row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại)
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,8.208.786,5.701.975,8208786.0,5701975.0
Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,Phải thu từ cung cấp dịch vụ xây dựng và các dịch vụ liên quan,5.139.171,449.849,5139171.0,449849.0
Phải thu từ bán hàng sản xuất,Phải thu từ bán hàng sản xuất,Phải thu từ bán hàng sản xuất,1.953.993,31.198,1953993.0,31198.0
"Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan","Phải thu từ cung cấp dịch vụ khách sạn, du lịch, vui chơi giải trí và các dịch vụ liên quan",351.263,268.595,351263.0,268595.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,292.872,267.757,292872.0,267757.0
Phải thu khác,Phải thu khác,Phải thu khác,694.715,773.142,694715.0,773142.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,16.640.800,7.492.516,16640800.0,7492516.0
Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Trong đó: > Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn từ bên liên quan(Thuyết minh số 37),4.789.528,256.303,4789528.0,256303.0
Phải thu ngắn hạn khách hàng khác,Trong đó: > Phải thu ngắn hạn khách hàng khác,Phải thu ngắn hạn khách hàng khác,11.851.272,7.236.213,11851272.0,7236213.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(25.406),(23.327),-25406.0,-23327.0
