row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Sử dụng và hoàn nhập dự phòng trong năm,Đơn vị tính: triệu VND > Năm nay > 511.388 > 2.198.940 > (511.216),Đơn vị tính: triệu VND > Năm trước > 344.400 > 489.208 > (322.220),numeric__Đơn vị tính: triệu VND > Năm nay > 511.388 > 2.198.940 > (511.216),numeric__Đơn vị tính: triệu VND > Năm trước > 344.400 > 489.208 > (322.220)
Trừ: Bán công ty con,Trừ: Bán công ty con,Trừ: Bán công ty con,(38.116),-,-38116.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.160.996,511.388,2160996.0,511388.0
