row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định khác,Đơn vị tính: triệu VND,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định khác,numeric__Đơn vị tính: triệu VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,36.105.006,17.923.830,1.392.529,1.189.343,1.027.083,57.637.791,36105006.0,17923830.0,1392529.0,1189343.0,1027083.0,57637791.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,540.241,776.772,462.186,376.436,227.179,2.382.814,540241.0,776772.0,462186.0,376436.0,227179.0,2382814.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),15.552.763,35.753.724,134.907,-,137.023,51.578.417,15552763.0,35753724.0,134907.0,,137023.0,51578417.0
Tăng do mua công ty con,Nguyên giá: > Tăng do mua công ty con,Tăng do mua công ty con,30.105,124.046,4.188,87.060,133.691,379.090,30105.0,124046.0,4188.0,87060.0,133691.0,379090.0
Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),723.819,115.897,-,-,657,840.373,723819.0,115897.0,,,657.0,840373.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,(1.566.024),1.712.955,42.678,(407.005),217.396,-,-1566024.0,1712955.0,42678.0,-407005.0,217396.0,
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(190.601),(82.349),(35.855),(28.157),(13.772),(350.734),-190601.0,-82349.0,-35855.0,-28157.0,-13772.0,-350734.0
Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),Nguyên giá: > Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),(4.878.145),(946.587),-,-,(27.679),(5.852.411),-4878145.0,-946587.0,,,-27679.0,-5852411.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,(3.082.255),(2.457.462),(67.904),(208.085),(604.660),(6.420.366),-3082255.0,-2457462.0,-67904.0,-208085.0,-604660.0,-6420366.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(77.346),(82.810),(8.877),24.632,(11.543),(155.944),-77346.0,-82810.0,-8877.0,24632.0,-11543.0,-155944.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,43.157.563,52.838.016,1.923.852,1.034.224,1.085.375,100.039.030,43157563.0,52838016.0,1923852.0,1034224.0,1085375.0,100039030.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,50.802,231.897,44.331,91.111,6.084,424.225,50802.0,231897.0,44331.0,91111.0,6084.0,424225.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,3.748.630,4.182.958,387.994,383.531,385.355,9.088.468,3748630.0,4182958.0,387994.0,383531.0,385355.0,9088468.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.649.738,2.919.998,180.057,150.257,163.230,5.063.280,1649738.0,2919998.0,180057.0,150257.0,163230.0,5063280.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế: > Tăng do mua công ty con,Tăng do mua công ty con,4.753,105.262,2.024,60.933,2.029,175.001,4753.0,105262.0,2024.0,60933.0,2029.0,175001.0
Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),Phân loại lại từ bất động sảnđầu tư (Thuyết minh số 16),80.973,79.396,-,-,64,160.433,80973.0,79396.0,,,64.0,160433.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,(795.971),809.753,3.113,(41.048),24.153,-,-795971.0,809753.0,3113.0,-41048.0,24153.0,
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(64.163),(31.935),(22.686),(14.589),(4.875),(138.248),-64163.0,-31935.0,-22686.0,-14589.0,-4875.0,-138248.0
Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),Giá trị khấu hao lũy kế: > Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),Phân loại lại sang bất động sảnđầu tư (Thuyết minh số 16),(467.477),(279.284),-,-,(2.118),(748.879),-467477.0,-279284.0,,,-2118.0,-748879.0
Giảm do bán công ty con,Giá trị khấu hao lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,(483.321),(940.789),(25.785),(136.216),(191.035),(1.777.146),-483321.0,-940789.0,-25785.0,-136216.0,-191035.0,-1777146.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(20.172),(52.536),(10.400),13.849,(13.222),(82.481),-20172.0,-52536.0,-10400.0,13849.0,-13222.0,-82481.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,3.652.990,6.792.823,514.317,416.717,363.581,11.740.428,3652990.0,6792823.0,514317.0,416717.0,363581.0,11740428.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,32.356.376,13.740.872,1.004.535,805.812,641.728,48.549.323,32356376.0,13740872.0,1004535.0,805812.0,641728.0,48549323.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,39.504.573,46.045.193,1.409.535,617.507,721.794,88.298.602,39504573.0,46045193.0,1409535.0,617507.0,721794.0,88298602.0
