row_label_raw,row_label_full,col_0,Số đầu năm (*),Đầu tư tăng thêm trong năm,"Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Cổ tức được chia trong năm/khác,Chuyển sang công ty con/đầu tư dài hạn khác,Số cuối năm (*),numeric__Số đầu năm (*),numeric__Đầu tư tăng thêm trong năm,"numeric__Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Cổ tức được chia trong năm/khác,numeric__Chuyển sang công ty con/đầu tư dài hạn khác,numeric__Số cuối năm (*)
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,1.919.308,-,(758.983),23.340,-,1.183.665,1919308.0,,-758983.0,23340.0,,1183665.0
Công ty Việt Thắng,Công ty Việt Thắng,Công ty Việt Thắng,543.184,-,83.731,-,-,626.915,543184.0,,83731.0,,,626915.0
Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,-,188.906,(2.916),-,-,185.990,,188906.0,-2916.0,,,185990.0
Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,Công ty Vinfast-An Phát,30.000,74.000,(6.566),-,-,97.434,30000.0,74000.0,-6566.0,,,97434.0
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,48.836,-,(1.559),(153),-,47.124,48836.0,,-1559.0,-153.0,,47124.0
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,5.058,1.050,666,(434),-,6.340,5058.0,1050.0,666.0,-434.0,,6340.0
Công ty AAPICO Vinfast,Công ty AAPICO Vinfast,Công ty AAPICO Vinfast,-,228.291,(2.541),-,(225.750),-,,228291.0,-2541.0,,-225750.0,
Công ty Cổ phần Kinh doanh và Phân phối được VINFA,Công ty Cổ phần Kinh doanh và Phân phối được VINFA,Công ty Cổ phần Kinh doanh và Phân phối được VINFA,-,5.820,(275),-,(5.545),-,,5820.0,-275.0,,-5545.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.546.386,498.067,(688.443),22.753,(231.295),2.147.468,2546386.0,498067.0,-688443.0,22753.0,-231295.0,2147468.0
