row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình (bao gồm phân bổ lợi thế thương mại),,15.637.424,13.900.649,,,15637424.0,13900649.0
02,02,02,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình (bao gồm phân bổ lợi thế thương mại),,8.337.680,5.155.271,,,8337680.0,5155271.0
03,03,03,Các khoản dự phòng,,2.629.024,241.330,,,2629024.0,241330.0
04,04,04,Lỗ chênh lệch tỷ giá,,6.516,192.368,,,6516.0,192368.0
05,05,05,Lãi từ hoạt động đầu tư,,(12.853.241),(6.703.086),,,-12853241.0,-6703086.0
06,06,06,Chi phí lãi vay (bao gồm chi phí phát hành phân bổ trong năm),32,7.525.182,4.283.365,,32.0,7525182.0,4283365.0
08,08,08,"Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động(Tăng)/giảm các khoản phải thu(Tăng)/giảm hàng tồn khoTăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)(Tăng)/giảm chi phí trả trướcGiảm chứng khoán kinh doanhTiền lãi vay đã trảThuế thu nhập doanh nghiệp đã nộp",22,39.864.097(1.909.881)535.050(7.221.315)(7.941.805),(24.972.741)1.038.68712.864(3.740.381)(5.760.402),,22.0,,
20,20,20,Lưu chuyển tiền thuần tử/(sử dụng vào) hoạt động kinh doanh,,15.967.088,(9.983.731),,,15967088.0,-9983731.0
,,,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khácTiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khácTiền chi cho vay và mua các công cụ nợ của đơn vị khácTiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về)Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý nấm giữ)Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",,(55.175.557)422.482(16.422.931)38.074.294(61.532.925)34.006.507762.065,(44.772.133)1.305.734(21.453.789)20.729.470(46.807.073)27.524.1191.160.050,,,,
21,21,21,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khácTiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khácTiền chi cho vay và mua các công cụ nợ của đơn vị khácTiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về)Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý nấm giữ)Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",,(55.175.557)422.482(16.422.931)38.074.294(61.532.925)34.006.507762.065,(44.772.133)1.305.734(21.453.789)20.729.470(46.807.073)27.524.1191.160.050,,,,
22,22,22,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khácTiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khácTiền chi cho vay và mua các công cụ nợ của đơn vị khácTiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về)Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý nấm giữ)Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",,(55.175.557)422.482(16.422.931)38.074.294(61.532.925)34.006.507762.065,(44.772.133)1.305.734(21.453.789)20.729.470(46.807.073)27.524.1191.160.050,,,,
23,23,23,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khácTiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khácTiền chi cho vay và mua các công cụ nợ của đơn vị khácTiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về)Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý nấm giữ)Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",,(55.175.557)422.482(16.422.931)38.074.294(61.532.925)34.006.507762.065,(44.772.133)1.305.734(21.453.789)20.729.470(46.807.073)27.524.1191.160.050,,,,
24,24,24,"II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯTiền chi mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khácTiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khácTiền chi cho vay và mua các công cụ nợ của đơn vị khácTiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khácTiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về)Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý nấm giữ)Thu lãi tiền cho vay, cổ tức và lợi nhuận được chia",,(55.175.557)422.482(16.422.931)38.074.294(61.532.925)34.006.507762.065,(44.772.133)1.305.734(21.453.789)20.729.470(46.807.073)27.524.1191.160.050,,,,
