row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,57.772,158.011,(12.495),(57.525),57772.0,158011.0,-12495.0,-57525.0
Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch từ chi phí bán hàng chưa được khấu trừ trong năm,214.203,71.262,142.940,36.115,214203.0,71262.0,142940.0,36115.0
Chênh lệch tạm thời từ đánh giá lại tài sản của công ty con khi sáp nhập,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ đánh giá lại tài sản của công ty con khi sáp nhập,Chênh lệch tạm thời từ đánh giá lại tài sản của công ty con khi sáp nhập,68.205,158.904,(90.699),160.172,68205.0,158904.0,-90699.0,160172.0
Các khoản khác,Tài sản thuế thu nhập hoãn lại > Các khoản khác,Các khoản khác,305.313,226.050,(26.831),148.326,305313.0,226050.0,-26831.0,148326.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,(466.107),(801.336),335.228,(680.347),-466107.0,-801336.0,335228.0,-680347.0
Các khoản khác,Thuế thu nhập hoãn lại phải trả > Các khoản khác,Các khoản khác,(3.916),(23.324),17.870,3.633,-3916.0,-23324.0,17870.0,3633.0
Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),175.470,(210.433),,,175470.0,-210433.0,,
Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào kết quả kinh doanh hợp nhất,,,366.013,(389.626),,,366013.0,-389626.0
Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,,,,
Tài sản thuế thu nhập hoãn lại,Trình bày trên báo cáo tài chính hợp nhất > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,645.493,614.227,,,645493.0,614227.0,,
Thuế thu nhập hoãn lại phải trả,Trình bày trên báo cáo tài chính hợp nhất > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(470.023),(824.660),,,-470023.0,-824660.0,,
Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),Trình bày trên báo cáo tài chính hợp nhất > Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),Tài sản thuế thu nhập hoãn lại thuần/(thuế thu nhập hoãn lại phải trả thuần),175.470,(210.433),,,175470.0,-210433.0,,
