row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước(Trình bày lại),numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước(Trình bày lại)
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông,7.545.915,3.823.739,7545915.0,3823739.0
"Điều chỉnh giảm do trích quỹ khen thưởng, phúc lợi","Điều chỉnh giảm do trích quỹ khen thưởng, phúc lợi","Điều chỉnh giảm do trích quỹ khen thưởng, phúc lợi",-,-,,
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,"Điều chỉnh giảm do trích quỹ khen thưởng, phúc lợi > Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu",Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,7.545.915,3.823.739,7545915.0,3823739.0
Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi,-,-,,
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,7.545.915,3.823.739,7545915.0,3823739.0
,,,Đơn vị tính: cổ phiếu,Đơn vị tính: cổ phiếu,,
,,,Năm nay,Năm trước,,
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Lợi tức của cổ phiếu ưu đãi có quyền chuyển đổi > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,3.101.191.565,2.972.745.653,3101191565.0,2972745653.0
Ảnh hưởng suy giảm do:,Ảnh hưởng suy giảm do:,Ảnh hưởng suy giảm do:,,,,
Cổ phiếu ưu đãi có quyền chuyển đổi,Ảnh hưởng suy giảm do: > Cổ phiếu ưu đãi có quyền chuyển đổi,Cổ phiếu ưu đãi có quyền chuyển đổi,65.154.820,31.750.516,65154820.0,31750516.0
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Ảnh hưởng suy giảm do: > Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,3.166.346.385,3.004.496.169,3166346385.0,3004496169.0
