row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu tiền bán hàng do bên thứ ba thu hộ,Ngắn hạn: > Phải thu tiền bán hàng do bên thứ ba thu hộ,Phải thu tiền bán hàng do bên thứ ba thu hộ,3.552.949,406.983,3552949.0,406983.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc vàphải thu từ cho vay","Ngắn hạn: > Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc vàphải thu từ cho vay","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc vàphải thu từ cho vay",3.316.254,1.699.918,3316254.0,1699918.0
"Đặt cọc, ký quỹ cho mục đích phát triển dự án","Ngắn hạn: > Đặt cọc, ký quỹ cho mục đích phát triển dự án","Đặt cọc, ký quỹ cho mục đích phát triển dự án",770.327,360.178,770327.0,360178.0
Phải thu hợp đồng xây dựng chuyển giao,Ngắn hạn: > Phải thu hợp đồng xây dựng chuyển giao,Phải thu hợp đồng xây dựng chuyển giao,582.831,966.530,582831.0,966530.0
Phải thu từ việc chỉ hộ,Ngắn hạn: > Phải thu từ việc chỉ hộ,Phải thu từ việc chỉ hộ,354.373,361.357,354373.0,361357.0
Đặt cọc cho hợp đồng hợp tác đầu tư,Ngắn hạn: > Đặt cọc cho hợp đồng hợp tác đầu tư,Đặt cọc cho hợp đồng hợp tác đầu tư,125.000,593.000,125000.0,593000.0
Đặt cọc thực hiện hợp đồng hợp tác kinh doanh (i),Ngắn hạn: > Đặt cọc thực hiện hợp đồng hợp tác kinh doanh (i),Đặt cọc thực hiện hợp đồng hợp tác kinh doanh (i),-,13.950.000,,13950000.0
Ký quỹ đảm bảo nghĩa vụ thanh toán,Ngắn hạn: > Ký quỹ đảm bảo nghĩa vụ thanh toán,Ký quỹ đảm bảo nghĩa vụ thanh toán,-,120.190,,120190.0
Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 37),Ngắn hạn: > Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 37),Phải thu ngắn hạn khác từ các bên liên quan(Thuyết minh số 37),-,1.383.112,,1383112.0
Phải thu khác,Ngắn hạn: > Phải thu khác,Phải thu khác,1.360.975,1.152.647,1360975.0,1152647.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,10.062.709,20.993.915,10062709.0,20993915.0
Dự phòng phải thu ngắn hạn khác khó đòi,Ngắn hạn: > Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(241.998),(47.849),-241998.0,-47849.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Ký quỹ đảm bảo nghĩa vụ thanh toán,Dài hạn: > Ký quỹ đảm bảo nghĩa vụ thanh toán,Ký quỹ đảm bảo nghĩa vụ thanh toán,120.256,-,120256.0,
Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,Dài hạn: > Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,Đặt cọc thực hiện hợp đồng hợp tác kinh doanh,73.367,73.367,73367.0,73367.0
Đặt cọc thuê gian hàng dài hạn,Dài hạn: > Đặt cọc thuê gian hàng dài hạn,Đặt cọc thuê gian hàng dài hạn,13.642,212.873,13642.0,212873.0
Phải thu khác,Dài hạn: > Phải thu khác,Phải thu khác,49.517,19.302,49517.0,19302.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,256.782,305.542,256782.0,305542.0
