row_label_raw,row_label_full,col_0,Quyền sử dụng đất(Trình bày lại),Phần mềmmáy tính,Bản quyền,Tài sản khác,Đơn vị tính: triệu VNDTổng cộng(Trình bày lại),numeric__Quyền sử dụng đất(Trình bày lại),numeric__Phần mềmmáy tính,numeric__Bản quyền,numeric__Tài sản khác,numeric__Đơn vị tính: triệu VNDTổng cộng(Trình bày lại)
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),319.759,863.273,-,383.307,1.566.339,319759.0,863273.0,,383307.0,1566339.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,568.738,56.510,16.775,642.023,,568738.0,56510.0,16775.0,642023.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,1.064.621,18.344.236,6.513,19.415.370,,1064621.0,18344236.0,6513.0,19415370.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,-,(316.889),-,(55.362),(372.251),,-316889.0,,-55362.0,-372251.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(26.826),(20.617),-,144.213,96.770,-26826.0,-20617.0,,144213.0,96770.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,292.933,2.159.126,18.400.746,495.446,21.348.251,292933.0,2159126.0,18400746.0,495446.0,21348251.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,74.649,-,220.001,294.650,,74649.0,,220001.0,294650.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,46.960,299.846,-,312.530,659.336,46960.0,299846.0,,312530.0,659336.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,16.987,224.172,633.323,19.058,893.540,16987.0,224172.0,633323.0,19058.0,893540.0
Giảm do bán công ty con,Giá trị hao mòn lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,-,(150.156),-,(24.286),(174.442),,-150156.0,,-24286.0,-174442.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,(14.776),(6.790),-,21.091,(475),-14776.0,-6790.0,,21091.0,-475.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,49.171,367.072,633.323,328.393,1.377.959,49171.0,367072.0,633323.0,328393.0,1377959.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),272.799,563.427,-,70.777,907.003,272799.0,563427.0,,70777.0,907003.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,243.762,1.792.054,17.767.423,167.053,19.970.292,243762.0,1792054.0,17767423.0,167053.0,19970292.0
