row_label_raw,row_label_full,col_0,Giá trị hợp lý được xác định tạm thời tại ngày mua,Điều chỉnh giá trị hợp lý,Giá trị hợp lý sau điều chỉnh,numeric__Giá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Điều chỉnh giá trị hợp lý,numeric__Giá trị hợp lý sau điều chỉnh
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,332.621,-,332.621,332621.0,,332621.0
Phải thu ngắn hạn của khách hàng,Tài sản > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,101.494,(101.494),-,101494.0,-101494.0,
Phải thu ngắn hạn khác,Tài sản > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,25.725,(24.367),1.358,25725.0,-24367.0,1358.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,625.864,250.040,875.904,625864.0,250040.0,875904.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,69.382,-,69.382,69382.0,,69382.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,-,87.131,87.131,,87131.0,87131.0
,,,1.155.086,211.310,1.366.396,1155086.0,211310.0,1366396.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,
Phải trả người bán,Nợ phải trả > Phải trả người bán,Phải trả người bán,30.915,-,30.915,30915.0,,30915.0
Thuế và các khoản phải nộp Nhà nước,Nợ phải trả > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,103.433,43.906,147.339,103433.0,43906.0,147339.0
Chi phí phải trả ngắn hạn,Nợ phải trả > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,112.170,(4.399),107.771,112170.0,-4399.0,107771.0
Dự phòng phải trả dài hạn,Nợ phải trả > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,70.161,-,70.161,70161.0,,70161.0
Dự phòng phải trả ngắn hạn,Nợ phải trả > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,21.543,-,21.543,21543.0,,21543.0
Các khoản phải trả khác,Nợ phải trả > Các khoản phải trả khác,Các khoản phải trả khác,32.893,(10.635),22.258,32893.0,-10635.0,22258.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,783.971,182.438,966.409,783971.0,182438.0,966409.0
Lợi ích cố đông không kiểm soát,Nợ phải trả > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,78.696,(105.988),(27.292),78696.0,-105988.0,-27292.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,56.764,(56.764),-,56764.0,-56764.0,
Lãi từ giao dịch mua rè,Nợ phải trả > Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,-,(19.686),(19.686),,-19686.0,-19686.0
