row_label_raw,row_label_full,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm trước
1.200.000,1.200.000,1.200.000,180.000,180000.0
180.000,180.000,180.000,1.494.612,1494612.0
153.576,153.576,153.576,505.394,505394.0
258.724,258.724,258.724,538.244,538244.0
1.134.000,1.134.000,1.134.000,360.612,360612.0
4.567.438,4.567.438,4.567.438,-,
249.112,4.567.438 > 249.112,249.112,700.000,700000.0
124.206,4.567.438 > 124.206,124.206,120.715,120715.0
-,4.567.438 > -,-,86.695,86695.0
-,4.567.438 > -,-,299.917,299917.0
-,4.567.438 > -,-,201.032,201032.0
-,4.567.438 > -,-,441.432,441432.0
441.432,441.432,441.432,-,
66.778,441.432 > 66.778,66.778,75.424,75424.0
44.791,441.432 > 44.791,44.791,38.343,38343.0
74.000,74.000,74.000,-,
188.906,188.906,188.906,-,
403.988,403.988,403.988,-,
205.399,205.399,205.399,-,
-,205.399 > -,-,2.041.191,2041191.0
-,205.399 > -,-,85.671,85671.0
