row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,1.110.313,840.825,1110313.0,840825.0
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,780.044,651.932,780044.0,651932.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ",439.862,499.785,439862.0,499785.0
Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Ngắn hạn: > Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,Doanh thu chưa thực hiện từ chương trình khách hàng thân thiết Vingroup Card,13.453,254.156,13453.0,254156.0
Doanh thu chưa thực hiện từ dịch vụ khác,Ngắn hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,180.850,226.901,180850.0,226901.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,2.524.522,2.473.599,2524522.0,2473599.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,Doanh thu chưa thực hiện từ dịch vụ quản lý cho thuê biệt thụ và cần hộ khách sạn,2.768.347,3.242.269,2768347.0,3242269.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ, biệt thụ",1.286.692,1.642.103,1286692.0,1642103.0
Doanh thu chưa thực hiện từ phí thương hiệu,Dài hạn: > Doanh thu chưa thực hiện từ phí thương hiệu,Doanh thu chưa thực hiện từ phí thương hiệu,669.710,618.333,669710.0,618333.0
Doanh thu chưa thực hiện từ dịch vụ khác,Dài hạn: > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,275.232,215.857,275232.0,215857.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,4.999.981,5.718.562,4999981.0,5718562.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),Trong đó: > Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),Doanh thu chưa thực hiện với các bên liên quan (Thuyết minh số 37),769.867,774.490,769867.0,774490.0
Doanh thu chưa thực hiện với các bên khác,Trong đó: > Doanh thu chưa thực hiện với các bên khác,Doanh thu chưa thực hiện với các bên khác,6.754.636,7.417.671,6754636.0,7417671.0
