row_label_raw,row_label_full,Giá trị (USD) > Giá trị trái phiếu hoán đổi,450.000.000 > Giá trị trái phiếu hoán đổi,Thay đổi trong năm > Phát hành thêm > - > Giá trị trái phiếu hoán đổi,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > - > Giá trị trái phiếu hoán đổi,Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > - > Đơn vị tính: triệu VND > Năm nay > 10.205.665,Thay đổi trong năm > Số cuối năm > 450.000.000 > Đơn vị tính: triệu VND > Năm trước > 10.060.202,numeric__450.000.000 > Giá trị trái phiếu hoán đổi,numeric__Thay đổi trong năm > Phát hành thêm > - > Giá trị trái phiếu hoán đổi,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu > - > Giá trị trái phiếu hoán đổi,numeric__Thay đổi trong năm > Đã đáo hạn không được hoán đổi thành cổ phiếu > - > Đơn vị tính: triệu VND > Năm nay > 10.205.665,numeric__Thay đổi trong năm > Số cuối năm > 450.000.000 > Đơn vị tính: triệu VND > Năm trước > 10.060.202
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,10.205.665,10.060.202,,,,10205665.0,10060202.0
Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,,,,,
Số đầu năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,26.113,-,,,,26113.0,
Số phân bổ tăng trong năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,55.800,26.113,,,,55800.0,26113.0
Số cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,81.913,26.113,,,,81913.0,26113.0
Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,Cộng: (Lãi)/lỗ chênh lệch tỷ giả đánh giá lại số dư cuối năm,(2.250),119.350,,,,-2250.0,119350.0
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,10.259.215,10.205.665,,,,10259215.0,10205665.0
