row_label_raw,row_label_full,col_0,Quyền sử dụng đất và nhà cửa vật kiến trúc,"Máy móc, thiết bị",Đơn vị tính: triệu VND Tổng cộng,numeric__Quyền sử dụng đất và nhà cửa vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: triệu VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.689.519,4.484.448,30.173.967,25689519.0,4484448.0,30173967.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,144.338,4.356,148.694,144338.0,4356.0,148694.0
Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành (Thuyết minh số 18),Xây dựng cơ bản hoàn thành (Thuyết minh số 18),3.304.908,603.433,3.908.341,3304908.0,603433.0,3908341.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),4.905.824,946.587,5.852.411,4905824.0,946587.0,5852411.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(434.188),(5.991),(440.179),-434188.0,-5991.0,-440179.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Nguyên giá: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(724.476),(115.897),(840.373),-724476.0,-115897.0,-840373.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(186.077),461.734,275.657,-186077.0,461734.0,275657.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,32.699.848,6.378.670,39.078.518,32699848.0,6378670.0,39078518.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,2.255.353,1.174.948,3.430.301,2255353.0,1174948.0,3430301.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,803.096,366.664,1.169.760,803096.0,366664.0,1169760.0
Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),Phân loại từ tài sản cố định hữu hình (Thuyết minh số 14),469.595,279.284,748.879,469595.0,279284.0,748879.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.880),(3.564),(9.444),-5880.0,-3564.0,-9444.0
Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình (Thuyết minh số 14),(81.037),(79.396),(160.433),-81037.0,-79396.0,-160433.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(42.157),69.354,27.197,-42157.0,69354.0,27197.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,3.398.970,1.807.290,5.206.260,3398970.0,1807290.0,5206260.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,23.434.166,3.309.500,26.743.666,23434166.0,3309500.0,26743666.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,29.300.878,4.571.380,33.872.258,29300878.0,4571380.0,33872258.0
