row_label_raw,row_label_full,col_0,Số lượng,Số lượng_1,numeric__Số lượng,numeric__Số lượng_1
,,,Số cuối năm,Số đầu năm,,
Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,3.430.914.022,3.275.621.230,3430914022.0,3275621230.0
Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,3.430.914.022,3.275.621.230,3430914022.0,3275621230.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,3.368.575.556,3.191.621.230,3368575556.0,3191621230.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,62.338.466,84.000.000,62338466.0,84000000.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,3.280.143.542,3.056.745.286,3280143542.0,3056745286.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,3.217.805.076,2.972.745.286,3217805076.0,2972745286.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,62.338.466,84.000.000,62338466.0,84000000.0
Cổ phiếu được mua lại (cổ phiếu quỹ),Cổ phiếu được mua lại (cổ phiếu quỹ),Cổ phiếu được mua lại (cổ phiếu quỹ),150.770.480,218.875.944,150770480.0,218875944.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,150.770.480,218.875.944,150770480.0,218875944.0
