row_label_raw,row_label_full,col_0,Công ty Nam Hà Nội,Công ty Sài Đồng,Công ty Hoàng Gia,Công ty Cổ phần Nhất Nam,Các công ty con khác,Tổng cộng,numeric__Công ty Nam Hà Nội,numeric__Công ty Sài Đồng,numeric__Công ty Hoàng Gia,numeric__Công ty Cổ phần Nhất Nam,numeric__Các công ty con khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),1.629.906,2.251.824,1.024.509,901.050,2.812.853,8.620.142,1629906.0,2251824.0,1024509.0,901050.0,2812853.0,8620142.0
Tăng do hợp nhất kinh doanh trong năm,Nguyên giá: > Tăng do hợp nhất kinh doanh trong năm,Tăng do hợp nhất kinh doanh trong năm,-,-,-,-,586.198,586.198,,,,,586198.0,586198.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,(901.050),(510.914),(1.411.964),,,,-901050.0,-510914.0,-1411964.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,-,(101.336),(22.177),-,(123.221),(246.734),,-101336.0,-22177.0,,-123221.0,-246734.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.629.906,2.150.488,1.002.332,-,2.764.916,7.547.642,1629906.0,2150488.0,1002332.0,,2764916.0,7547642.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm (Trình bày lại),Giá trị hao mòn lũy kế: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),1.200.759,1.255.540,758.965,21.947,1.231.236,4.468.447,1200759.0,1255540.0,758965.0,21947.0,1231236.0,4468447.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,110.004,221.328,88.070,90.006,653.080,1.162.488,110004.0,221328.0,88070.0,90006.0,653080.0,1162488.0
Giảm do bán công ty con,Giá trị hao mòn lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,(111.953),(196.098),(308.051),,,,-111953.0,-196098.0,-308051.0
Giảm khác,Giá trị hao mòn lũy kế: > Giảm khác,Giảm khác,-,(63.221),(18.696),-,(67.464),(149.381),,-63221.0,-18696.0,,-67464.0,-149381.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.310.763,1.413.647,828.339,-,1.620.754,5.173.503,1310763.0,1413647.0,828339.0,,1620754.0,5173503.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),429.147,996.284,265.544,879.103,1.581.617,4.151.695,429147.0,996284.0,265544.0,879103.0,1581617.0,4151695.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,319.143,736.841,173.993,-,1.144.162,2.374.139,319143.0,736841.0,173993.0,,1144162.0,2374139.0
