row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn: > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,1.935.989,1.372.076,1935989.0,1372076.0
Chi phí thuế thu nhập doanh nghiệp tạm nộp,Ngắn hạn: > Chi phí thuế thu nhập doanh nghiệp tạm nộp,Chi phí thuế thu nhập doanh nghiệp tạm nộp,392.347,268.431,392347.0,268431.0
Chi phí phát triển sản phẩm,Ngắn hạn: > Chi phí phát triển sản phẩm,Chi phí phát triển sản phẩm,321.881,56.966,321881.0,56966.0
"Chi phí công cụ, dụng cụ","Ngắn hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",210.519,219.922,210519.0,219922.0
Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,Ngắn hạn: > Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,10.694,267.618,10694.0,267618.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,383.115,299.716,383115.0,299716.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,3.254.545,2.484.729,3254545.0,2484729.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Chi phí thuê đất trả trước,Dài hạn: > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,3.954.036,1.888.740,3954036.0,1888740.0
"Chi phí công cụ, dụng cụ","Dài hạn: > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.121.198,1.729.119,1121198.0,1729119.0
Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,Dài hạn: > Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,Trả trước lợi nhuận cam kết theo chương trình quản lý biệt thụ và căn hộ khách sạn,550.845,665.519,550845.0,665519.0
Chi phí trước hoạt động,Dài hạn: > Chi phí trước hoạt động,Chi phí trước hoạt động,496.972,514.618,496972.0,514618.0
Chi phí trả trước dài hạn khác,Dài hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,558.644,772.354,558644.0,772354.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,6.681.695,5.570.350,6681695.0,5570350.0
