row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,,
Mua doanh nghiệp thông qua việc phát hành cổ phiếu,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Mua doanh nghiệp thông qua việc phát hành cổ phiếu,Mua doanh nghiệp thông qua việc phát hành cổ phiếu,-,1.648.224,,1648224.0
Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,Chuyển đổi công nợ giữa hoạt động kinh doanh và hoạt động tài chính,236.742,-,236742.0,
Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,54.594.979,66.379.477,54594979.0,66379477.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,8.651.215,20.324.421,8651215.0,20324421.0
Tiền thu từ phát hành trái phiếu chuyển đổi,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu chuyển đổi,Tiền thu từ phát hành trái phiếu chuyển đổi,-,10.060.202,,10060202.0
Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,Số tiền đã thực trả gốc vay trong năm:,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm: > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(16.482.542),(38.517.116),-16482542.0,-38517116.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm: > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(9.700.000),(4.207.584),-9700000.0,-4207584.0
