row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,7.651.830,6.208.932,7651830.0,6208932.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,4.596.982,2.656.343,4596982.0,2656343.0
- Chi phí khấu hao và hao mòn tài sản cố định,Chi phí bán hàng > - Chi phí khấu hao và hao mòn tài sản cố định,- Chi phí khấu hao và hao mòn tài sản cố định,1.041.151,773.205,1041151.0,773205.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,958.485,473.809,958485.0,473809.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,14.248.448,10.112.289,14248448.0,10112289.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,5.002.408,2.325.634,5002408.0,2325634.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,2.750.953,1.959.497,2750953.0,1959497.0
- Chi phí khấu hao và hao mòn tài sản cố định và phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao và hao mòn tài sản cố định và phân bổ lợi thế thương mại,- Chi phí khấu hao và hao mòn tài sản cố định và phân bổ lợi thế thương mại,2.006.510,1.399.114,2006510.0,1399114.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,1.284.513,400.848,1284513.0,400848.0
"- Chi phí thuế, phí, lệ phí","Chi phí quản lý doanh nghiệp > - Chi phí thuế, phí, lệ phí","- Chi phí thuế, phí, lệ phí",430.963,200.236,430963.0,200236.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,1.202.091,1.082.510,1202091.0,1082510.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,12.677.438,7.367.839,12677438.0,7367839.0
