row_label_raw,row_label_full,Mãsố,CHỈ TIÊU,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),Đơn vị tính: triệu VND > Trình bày lại,Đơn vị tính: triệu VND > Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Được trình bày lại),numeric__CHỈ TIÊU,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),numeric__Đơn vị tính: triệu VND > Trình bày lại,numeric__Đơn vị tính: triệu VND > Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Được trình bày lại)
BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT,,,,
11,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 11,11,Giá vốn hàng bán và dịch vụcung cấp,(92.971.051),27.325,(92.943.726),,-92971051.0,27325.0,-92943726.0
20,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 20,20,Lợi nhuận gộp về bán hàngvà cung cấp dịch vụ,28.923.350,27.325,28.950.675,,28923350.0,27325.0,28950675.0
30,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 30,30,Lợi nhuận thuần từ hoạtđộng kinh doanh,13.587.903,27.325,13.615.228,,13587903.0,27325.0,13615228.0
31,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 31,31,Thu nhập khác,759.285,19.686,778.971,,759285.0,19686.0,778971.0
40,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 40,40,Lợi nhuận khác,265.735,19.686,285.421,,265735.0,19686.0,285421.0
50,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 50,50,Tổng lợi nhuận kế toán trướcthuế,13.853.638,47.011,13.900.649,,13853638.0,47011.0,13900649.0
60,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 60,60,Lợi nhuận sau thuế TNDN,6.190.882,47.011,6.237.893,,6190882.0,47011.0,6237893.0
61,BÁO CÁO KẾT QUẢ HOATĐỘNG KINH DOANH HỢP NHẤT > 61,61,Lợi nhuận sau thuế của côngty mẹ,3.776.728,47.011,3.823.739,,3776728.0,47011.0,3823739.0
Mãsố,Mãsố,Mãsố,CHỈ TIÊU,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),Trình bày lại,Đơn vị tính: VND,,,,
Mãsố,Mãsố,Mãsố,CHỈ TIÊU,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),Trình bày lại,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Được trình bày lại),,,,
70,Mãsố > 70,70,Lãi cơ bản trên cổ phiếu,1.270,16,1.286,,1270.0,16.0,1286.0
71,Mãsố > 71,71,Lãi suy giảm trên cổ phiếu,1.257,16,1.273,,1257.0,16.0,1273.0
Mãsố,Mãsố,Mãsố,CHỈ TIÊU,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),Trình bày lại,Đơn vị tính: triệu VND,,,,
Mãsố,Mãsố,Mãsố,CHỈ TIÊU,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Đã được trình bàytrước đây),Trình bày lại,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2018(Được trình bày lại),,,,
BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT,,,,
01,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT > 01,01,Tổng lợi nhuận trước thuế,13.853.638,47.011,13.900.649,,13853638.0,47011.0,13900649.0
05,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT > 05,05,Lãi từ hoạt động đầu tư,(6.683.400),(19.686),(6.703.086),,-6683400.0,-19686.0,-6703086.0
08,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT > 08,08,Lợi nhuận từ hoạt động kinhdoanh trước thay đổi vốn lưuđộng,17.042.572,27.325,17.069.897,,17042572.0,27325.0,17069897.0
10,BÁO CÁO LƯU CHUYÊNTIỀN TẾ HỢP NHẤT > 10,10,Giảm hàng tồn kho,4.875.332,(27.325),4.848.007,,4875332.0,-27325.0,4848007.0
