row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam > Công ty Cổ phần Chứng khoán Kỹ thương Việt Nam > Trong đó: trái phiếu dài hạn đến hạn trả > Công ty Cổ phần Chứng khoán KB Việt Nam,Số cuối năm(triệu VND) > 2.598.095 > 38.458.226 > 21.173.677 > 2.787.047,Ngày đáo hạn > Tháng 3 năm 2022 > Từ tháng 1 năm 2020đến tháng 2 năm 2026 > Tháng 11 năm 2021 đếntháng 12 năm 2022,"Lãi suất > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 3%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi 6 tháng/lần > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 2,9% đến 4,5%/năm; lãi suất cố định từ 7,75%/năm đến 10%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi từ 3 tháng/lần đến 6tháng/lần > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 3,3%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi 6 tháng/lần",Tài sảnđảm bảo > (i) > (ii) > (iii),numeric__Số cuối năm(triệu VND) > 2.598.095 > 38.458.226 > 21.173.677 > 2.787.047,numeric__Ngày đáo hạn > Tháng 3 năm 2022 > Từ tháng 1 năm 2020đến tháng 2 năm 2026 > Tháng 11 năm 2021 đếntháng 12 năm 2022,"numeric__Lãi suất > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 3%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi 6 tháng/lần > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 2,9% đến 4,5%/năm; lãi suất cố định từ 7,75%/năm đến 10%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi từ 3 tháng/lần đến 6tháng/lần > Lãi suất huy động tiết kiệm trung bình kỳ hạn 12 thángtrả sau bằng VND (+) biên độ 3,3%/năm. Lãi vay được thanh toán theo kỳ trả nợ lãi 6 tháng/lần",numeric__Tài sảnđảm bảo > (i) > (ii) > (iii)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,43.843.368,,,,43843368.0,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,22.669.691,,,,22669691.0,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,21.173.677,,,,21173677.0,,,
