row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước(Trình bày lại),numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,15.637.424,13.900.649,15637424.0,13900649.0
Thuế tính theo thuế suất của các công ty trong Tập đoàn,Thuế tính theo thuế suất của các công ty trong Tập đoàn,Thuế tính theo thuế suất của các công ty trong Tập đoàn,3.127.485,2.780.130,3127485.0,2780130.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,,,
Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Các khoản điều chỉnh tăng: > Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,Điều chỉnh lãi/lỗ phát sinh trên báo cáo hợp nhất từ các giao dịch chuyển nhượng vốn,1.416.923,2.529.887,1416923.0,2529887.0
Lỗ của các công ty con,Các khoản điều chỉnh tăng: > Lỗ của các công ty con,Lỗ của các công ty con,2.469.517,989.609,2469517.0,989609.0
Lợi thể thương mại phân bổ trên báo cáo tài chính hợp nhất,Các khoản điều chỉnh tăng: > Lợi thể thương mại phân bổ trên báo cáo tài chính hợp nhất,Lợi thể thương mại phân bổ trên báo cáo tài chính hợp nhất,232.498,179.003,232498.0,179003.0
Lỗ từ các hoạt động kinh doanh không được bù trừ,Các khoản điều chỉnh tăng: > Lỗ từ các hoạt động kinh doanh không được bù trừ,Lỗ từ các hoạt động kinh doanh không được bù trừ,54.673,318.076,54673.0,318076.0
Các khoản khác,Các khoản điều chỉnh tăng: > Các khoản khác,Các khoản khác,2.103.038,558.298,2103038.0,558298.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,,,
Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Các khoản điều chỉnh giảm: > Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,Điều chỉnh thu nhập/chi phí trên báo cáo hợp nhất phát sinh từ giao dịch mua nhóm tài sản và hợp nhất kinh doanh,(490.691),1.850.886,-490691.0,1850886.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh giảm: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(603.781),(1.306.555),-603781.0,-1306555.0
Hoàn nhập dự phòng đầu tư vào công ty con,Các khoản điều chỉnh giảm: > Hoàn nhập dự phòng đầu tư vào công ty con,Hoàn nhập dự phòng đầu tư vào công ty con,(385.351),(188.042),-385351.0,-188042.0
Thu nhập từ cổ tức,Các khoản điều chỉnh giảm: > Thu nhập từ cổ tức,Thu nhập từ cổ tức,(3.500),(48.536),-3500.0,-48536.0
Chi phí thuế TNDN phân ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất ước tính,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN phân ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất ước tính,Chi phí thuế TNDN phân ánh trên báo cáo kết quả hoạt động kinh doanh hợp nhất ước tính,7.920.811,7.662.756,7920811.0,7662756.0
