row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm trước,Đơn vị tính: VND > Năm trước (Trình bày lại),numeric__Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm trước (Trình bày lại)
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.433,1.286,2433.0,1286.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,2.383,1.273,2383.0,1273.0
