row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tạm thời tại ngày mua,numeric__Đơn vị tính: triệu VNDGiá trị hợp lý được xác định tạm thời tại ngày mua
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,159.405,159405.0
Phải thu khách hàng ngắn hạn,Tài sản > Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,425.414,425414.0
Trả trước cho người bán ngắn hạn,Tài sản > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,315.390,315390.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,739.737,739737.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,114.198,114198.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,154.190,154190.0
Tài sản thuế thu nhập hoãn lại,Tài sản > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,173.356,173356.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,85.813,85813.0
,,,2.167.503,2167503.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả người bán ngắn hạn,Nợ phải trả > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,437.027,437027.0
Vay ngắn hạn,Nợ phải trả > Vay ngắn hạn,Vay ngắn hạn,634.991,634991.0
Các khoản phải trả khác,Nợ phải trả > Các khoản phải trả khác,Các khoản phải trả khác,259.251,259251.0
,,,1.331.269,1331269.0
Tổng tài sản thuần,Nợ phải trả > Tổng tài sản thuần,Tổng tài sản thuần,836.234,836234.0
Lợi ích cố đông không kiểm soát,Nợ phải trả > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,(304.174),-304174.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,422.324,422324.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,954.384,954384.0
Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,159.405,159405.0
Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2019,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2019,Tiền chỉ để mua công ty con tính đến ngày 31 tháng 12 năm 2019,(954.384),-954384.0
Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Thông tin lưu chuyển tiền tệ từ việc mua công ty con > Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,Lưu chuyển tiền thuần sử dụng vào nghiệp vụ mua,(794.979),-794979.0
