row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu cung cấp dịch vụ bệnh viện,23.501,128.649,,,23501.0,128649.0
Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,"Phải thu từ cung cấp hàng hóa, dịch vụ tư vấn, tổng thầu xây dựng",4.567.438,117.311,,,4567438.0,117311.0
Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,Công ty Pin Lithium Vinfast,Công ty liên doanh,Phải thu từ thanh lý tài sản,198.589,-,,,198589.0,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Công ty cùng chủ sở hữu và thành viên quản lý chủ chốt,Phải thu khác,,,,,,
,,,,,-,10.343,,,,10343.0
,,,,,4.789.528,256.303,,,4789528.0,256303.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty Du lịch Phú Quốc,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải thu lợi nhuận chia sẻ từ hợp đồng hợp tác kinh doanh,-,249.112,,,,249112.0
Quỹ Thiện Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải thu từ chi hộ,-,1.134.000,,,,1134000.0
,,,,,-,1.383.112,,,,1383112.0
Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),,,,
Công ty Du lịch Phú Quốc,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Phải trả mua tài sản,-,441.432,,,,441432.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty Cổ phần Tập đoàn Đầu tư Việt Nam,Công ty cùng chủ sở hữu,"Phải trả mua hàng hóa, dịch vụ",168,2.115,,,168.0,2115.0
,,,,,168,443.547,,,168.0,443547.0
Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),Doanh thu chưa thực hiện (Thuyết minh số 24),,,,
Công ty Du lịch Phú Quốc,Doanh thu chưa thực hiện (Thuyết minh số 24) > Công ty Du lịch Phú Quốc,Công ty Du lịch Phú Quốc,Công ty liên kết,Doanh thu chưa thực hiện từ thanh lý tài sản và cung cấp dịch vụ,769.867,774.490,,,769867.0,774490.0
,,,,,769.867,774.490,,,769867.0,774490.0
Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),,,,
Quỹ Thiện Tâm,Phải trả ngắn hạn khác (Thuyết minh số 25) > Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Phải trả chi phí từ thiện,1.200.000,180.000,,,1200000.0,180000.0
,,,,,1.200.000,180.000,,,1200000.0,180000.0
