row_label_raw,row_label_full,col_0,Kinh doanh chuyển nhượng bất động sản,Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Kinh doanh bán lẻ,Hoạt động sản xuất và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng công,numeric__Kinh doanh chuyển nhượng bất động sản,numeric__Kinh doanh cho thuê bất động sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Kinh doanh bán lẻ,numeric__Hoạt động sản xuất và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng công
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,83.271.632,5.558.631,7.366.496,2.630.637,1.449.885,19.325.680,556.462,1.734.978,-,121.894.401,83271632.0,5558631.0,7366496.0,2630637.0,1449885.0,19325680.0,556462.0,1734978.0,,121894401.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,1.749.774,94.631,73.855,-,1.931.530,22.640,6.089.478,(9.961.908),-,,1749774.0,94631.0,73855.0,,1931530.0,22640.0,6089478.0,-9961908.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,83.271.632,7.308.405,7.461.127,2.704.492,1.449.885,21.257.210,579.102,7.824.456,(9.961.908),121.894.401,83271632.0,7308405.0,7461127.0,2704492.0,1449885.0,21257210.0,579102.0,7824456.0,-9961908.0,121894401.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,,,
Khẩu hao và hao mòn,Kết quả hoạt động kinh doanh > Khẩu hao và hao mòn,Khẩu hao và hao mòn,982.108,1.058.729,1.561.117,512.071,98.408,749.543,52.334,140.961,-,5.155.271,982108.0,1058729.0,1561117.0,512071.0,98408.0,749543.0,52334.0,140961.0,,5155271.0
Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Kết quả hoạt động kinh doanh > Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,-,-,(467.768),-,-,1.048,-,41.801,-,(424.919),,,-467768.0,,,1048.0,,41801.0,,-424919.0
Thu nhập/(lỗ) trước thuế theo bộ phận,Kết quả hoạt động kinh doanh > Thu nhập/(lỗ) trước thuế theo bộ phận,Thu nhập/(lỗ) trước thuế theo bộ phận,19.251.271,2.982.818,(3.793.332),(1.286.784),(191.095),(5.160.912),(1.028.019),179.938,(142.347),10.811.538,19251271.0,2982818.0,-3793332.0,-1286784.0,-191095.0,-5160912.0,-1028019.0,179938.0,-142347.0,10811538.0
Thu nhập thuần không phân bổ,Kết quả hoạt động kinh doanh > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,3.089.111,,,,,,,,,,3089111.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,106.444.269,37.872.672,37.554.969,8.120.491,3.958.522,16.134.596,46.809.889,5.598.694,-,262.494.102,106444269.0,37872672.0,37554969.0,8120491.0,3958522.0,16134596.0,46809889.0,5598694.0,,262494102.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,25.633.073,,,,,,,,,,25633073.0
