row_label_raw,row_label_full,Chỉ tiêu,Đơn vị tính: triệu đồng > 31/12/2018Trình bày lại(Sau điều chỉnh của KTNN),Đơn vị tính: triệu đồng > 31/12/2018Số đã công bố(Sau kiểm toán của kiểm toán độc lập),Đơn vị tính: triệu đồng > Điều chỉnh,numeric__Đơn vị tính: triệu đồng > 31/12/2018Trình bày lại(Sau điều chỉnh của KTNN),numeric__Đơn vị tính: triệu đồng > 31/12/2018Số đã công bố(Sau kiểm toán của kiểm toán độc lập),numeric__Đơn vị tính: triệu đồng > Điều chỉnh
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,52.935.903,52.940.203,(4.300),52935903.0,52940203.0,-4300.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,57.429.323,57.634.431,(205.108),57429323.0,57634431.0,-205108.0
