row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),7.176.678,5.053.894,1.393.414,295.676,13.919.662,7176678.0,5053894.0,1393414.0,295676.0,13919662.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,54.666,163.360,166.891,25.749,410.666,54666.0,163360.0,166891.0,25749.0,410666.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,375.143,51.826,17.098,18.310,462.377,375143.0,51826.0,17098.0,18310.0,462377.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(26.068),(37.213),(30.347),(3.352),(96.980),-26068.0,-37213.0,-30347.0,-3352.0,-96980.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.071),-,1.071,-,,-1071.0,,1071.0,
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,(9.555),126.476,4.196,760,121.877,-9555.0,126476.0,4196.0,760.0,121877.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,7.570.864,5.357.272,1.551.252,338.214,14.817.602,7570864.0,5357272.0,1551252.0,338214.0,14817602.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),1.993.441,4.532.603,974.771,224.195,7.725.010,1993441.0,4532603.0,974771.0,224195.0,7725010.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,273.711,297.048,128.650,47.460,746.869,273711.0,297048.0,128650.0,47460.0,746869.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.235),(35.257),(29.115),(3.148),(71.755),-4235.0,-35257.0,-29115.0,-3148.0,-71755.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,(39),-,39,-,,-39.0,,39.0,
Tăng/(giảm) khác,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác,Tăng/(giảm) khác,234,(6.378),363,877,(4.904),234.0,-6378.0,363.0,877.0,-4904.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,2.263.151,4.787.977,1.074.669,269.423,8.395.220,2263151.0,4787977.0,1074669.0,269423.0,8395220.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),5.183.237,521.291,418.643,71.481,6.194.652,5183237.0,521291.0,418643.0,71481.0,6194652.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.307.713,569.295,476.583,68.791,6.422.382,5307713.0,569295.0,476583.0,68791.0,6422382.0
