row_label_raw,row_label_full,Chỉ tiêu,31/12/2018Trình bày lại(Sau điều chỉnhcủa KTNN),31/12/2018Số đã công bố(Sau kiểm toáncủa kiểm toánđộc lập),Điều chỉnh,numeric__31/12/2018Trình bày lại(Sau điều chỉnhcủa KTNN),numeric__31/12/2018Số đã công bố(Sau kiểm toáncủa kiểm toánđộc lập),numeric__Điều chỉnh
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,851.865.984,851.917.565,(51.581),851865984.0,851917565.0,-51581.0
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(13.059.964),(13.008.383),(51.581),-13059964.0,-13008383.0,-51581.0
Tải sản cố định,Tải sản cố định,Tải sản cố định,11.139.862,11.114.537,25.325,11139862.0,11114537.0,25325.0
Tải sản cố định hữu hình,Tải sản cố định hữu hình,Tải sản cố định hữu hình,6.194.652,6.193.312,1.340,6194652.0,6193312.0,1340.0
- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,13.919.662,13.925.207,(5.545),13919662.0,13925207.0,-5545.0
- Hao mòn TSCĐ,- Hao mòn TSCĐ,- Hao mòn TSCĐ,(7.725.010),(7.731.895),6.885,-7725010.0,-7731895.0,6885.0
Tải sản cố định vô hình,Tải sản cố định vô hình,Tải sản cố định vô hình,4.945.210,4.921.225,23.985,4945210.0,4921225.0,23985.0
- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,- Nguyên giá TSCĐ,6.447.395,6.424.369,23.026,6447395.0,6424369.0,23026.0
- Hao mòn TSCĐ,- Hao mòn TSCĐ,- Hao mòn TSCĐ,(1.502.185),(1.503.144),959,-1502185.0,-1503144.0,959.0
Tải sản Có khác,Tải sản Có khác,Tải sản Có khác,31.730.749,31.849.567,(118.818),31730749.0,31849567.0,-118818.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,21.741.493,21.556.765,184.728,21741493.0,21556765.0,184728.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",6.593.324,6.901.214,(307.890),6593324.0,6901214.0,-307890.0
Tải sản Có khác,Tải sản Có khác,Tải sản Có khác,3.404.868,3.400.524,4.344,3404868.0,3400524.0,4344.0
TỔNG TÀI SẢN,TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.164.289.661,1.164.434.735,(145.074),1164289661.0,1164434735.0,-145074.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,45.007.049,45.012.940,(5.891),45007049.0,45012940.0,-5891.0
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",15.820.561,15.820.192,369,15820561.0,15820192.0,369.0
Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,28.763.344,28.772.169,(8.825),28763344.0,28772169.0,-8825.0
Dự phòng rủi ro khác (Dự phòngcho công nợ tiềm ấn),Dự phòng rủi ro khác (Dự phòngcho công nợ tiềm ấn),Dự phòng rủi ro khác (Dự phòngcho công nợ tiềm ấn),423.144,420.579,2.565,423144.0,420579.0,2565.0
Tổng Nợ phải trả,Tổng Nợ phải trả,Tổng Nợ phải trả,1.096.973.327,1.096.979.218,(5.891),1096973327.0,1096979218.0,-5891.0
Vốn và các quỹ,Vốn và các quỹ,Vốn và các quỹ,67.316.334,67.455.517,(139.183),67316334.0,67455517.0,-139183.0
Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,11.836.676,11.975.822,(139.146),11836676.0,11975822.0,-139146.0
Lợi ích của cổ đông khôngkiểm soát,Lợi ích của cổ đông khôngkiểm soát,Lợi ích của cổ đông khôngkiểm soát,296.225,296.262,(37),296225.0,296262.0,-37.0
TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,TỔNG Nợ PHẢI TRẢ VÀ VỐNCHỦ SỞ HỮU,1.164.289.661,1.164.434.735,(145.074),1164289661.0,1164434735.0,-145074.0
