row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,Giữ đến ngày đáo hạn triệu đồng,Cho vay và phải thu triệu đồng,Sẵn sàng để bán triệu đồng,Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Tổng cộng giá trị ghi sổ triệu đồng,Giá trị hợp lý triệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh triệu đồng,numeric__Giữ đến ngày đáo hạn triệu đồng,numeric__Cho vay và phải thu triệu đồng,numeric__Sẵn sàng để bán triệu đồng,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",8.282.726,-,-,-,-,8.282.726,8.282.726,8282726.0,,,,,8282726.0,8282726.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,24.873.714,-,-,-,-,24.873.714,24.873.714,24873714.0,,,,,24873714.0,24873714.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,129.388.518,-,-,129.388.518,(*),,,129388518.0,,,129388518.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.051.245,-,-,-,-,4.051.245,(*),4051245.0,,,,,4051245.0,
Các công cu tài chính phải sinh và các tài sản tài chính,Các công cu tài chính phải sinh và các tài sản tài chính,Các công cu tài chính phải sinh và các tài sản tài chính,469.712,-,-,-,-,469.712,(*),469712.0,,,,,469712.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,935.270.945,-,-,935.270.945,(*),,,935270945.0,,,935270945.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,97.131.629,-,97.131.629,(*),,,,97131629.0,,97131629.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,15.367.993,-,-,-,15.367.993,(*),,15367993.0,,,,15367993.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,264.652,-,264.652,(*),,,,264652.0,,264652.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,32.617.889,-,-,32.617.889,(*),,,32617889.0,,,32617889.0,
,,,37.677.397,15.367.993,1.097.277.352,97.396.281,-,1.247.719.023,,37677397.0,15367993.0,1097277352.0,97396281.0,,1247719023.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,70.602.893,70.602.893,(*),,,,,70602893.0,70602893.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,109.483.059,109.483.059,(*),,,,,109483059.0,109483059.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,892.785.228,892.785.228,(*),,,,,892785228.0,892785228.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,5.775.899,5.775.899,(*),,,,,5775899.0,5775899.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,57.066.353,57.066.353,(*),,,,,57066353.0,57066353.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,26.344.203,26.344.203,(*),,,,,26344203.0,26344203.0,
,,,-,-,-,-,1.162.057.635,1.162.057.635,,,,,,1162057635.0,1162057635.0,
