row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm (trình bày lại),Nguyên giá > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),4.504.749,1.942.646,6.447.395,4504749.0,1942646.0,6447395.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.020,1.812,7.832,6020.0,1812.0,7832.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(425.270),(1.904),(427.174),-425270.0,-1904.0,-427174.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,5.748,268.525,274.273,5748.0,268525.0,274273.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.091.247,2.211.079,6.302.326,4091247.0,2211079.0,6302326.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm (trình bày lại),Giá trị hao mòn luỹ kế > Số dư đầu năm (trình bày lại),Số dư đầu năm (trình bày lại),293.473,1.208.712,1.502.185,293473.0,1208712.0,1502185.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,39.218,194.454,233.672,39218.0,194454.0,233672.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(5.723),(681),(6.404),-5723.0,-681.0,-6404.0
Giảm khác,Giá trị hao mòn luỹ kế > Giảm khác,Giảm khác,(1.720),-,(1.720),-1720.0,,-1720.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,325.248,1.402.485,1.727.733,325248.0,1402485.0,1727733.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm (trình bày lại),Giá trị còn lại > Tại ngày đầu năm (trình bày lại),Tại ngày đầu năm (trình bày lại),4.211.276,733.934,4.945.210,4211276.0,733934.0,4945210.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.765.999,808.594,4.574.593,3765999.0,808594.0,4574593.0
