row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019 triệu đồng,Ngày 31 tháng 12 năm 2018 triệu đồng(trình bày lại),numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019 triệu đồng,numeric__Ngày 31 tháng 12 năm 2018 triệu đồng(trình bày lại)
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,18,70.602.893,62.600.159,18.0,70602893.0,62600159.0
Tiền gửi và vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,19,109.483.059,111.399.612,19.0,109483059.0,111399612.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,19.1,82.538.040,73.941.924,191.0,82538040.0,73941924.0
Vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,19.2,26.945.019,37.457.688,192.0,26945019.0,37457688.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,892.785.228,825.816.119,20.0,892785228.0,825816119.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,5.775.899,5.934.029,21.0,5775899.0,5934029.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,57.066.353,46.216.359,22.0,57066353.0,46216359.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,23,27.643.225,45.007.049,23.0,27643225.0,45007049.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,17.835.374,15.820.561,,17835374.0,15820561.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23.1,9.322.163,28.763.344,231.0,9322163.0,28763344.0
Dự phòng rủi ro khác,NỘ PHẢI TRẢ > Dự phòng rủi ro khác,Dự phòng rủi ro khác,,485.688,423.144,,485688.0,423144.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.163.356.657,1.096.973.327,,1163356657.0,1096973327.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,,46.724.637,46.416.214,,46724637.0,46416214.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,37.234.046,37.234.046,,37234046.0,37234046.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,8.974.683,8.974.698,,8974683.0,8974698.0
- Vốn khác,VỐN CHỦ SỞ HỮU > - Vốn khác,- Vốn khác,,515.908,207.470,,515908.0,207470.0
Các quỹ dư trữ,VỐN CHỦ SỞ HỮU > Các quỹ dư trữ,Các quỹ dư trữ,,9.610.061,8.167.617,,9610061.0,8167617.0
Chênh lệch tỷ giá hối đoái,VỐN CHỦ SỞ HỮU > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,,626.014,599.602,,626014.0,599602.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,19.832.683,11.836.676,,19832683.0,11836676.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,561.423,296.225,,561423.0,296225.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,77.354.818,67.316.334,25.0,77354818.0,67316334.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.240.711.475,1.164.289.661,,1240711475.0,1164289661.0
