row_label_raw,row_label_full,Chỉ tiêu,Năm 2018 Trình bày lại (Sau điều chỉnh của KTNN),Năm 2018 Số đã công bố (Sau kiểm toán của kiểm toán độc lập),Điều chính,numeric__Năm 2018 Trình bày lại (Sau điều chỉnh của KTNN),numeric__Năm 2018 Số đã công bố (Sau kiểm toán của kiểm toán độc lập),numeric__Điều chính
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,73.869.866,74.176.120,(306.254),73869866.0,74176120.0,-306254.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,22.211.832,22.518.086,(306.254),22211832.0,22518086.0,-306254.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,5.963.790,5.954.421,9.369,5963790.0,5954421.0,9369.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(3.193.013),(3.186.894),(6.119),-3193013.0,-3186894.0,-6119.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,2.770.777,2.767.527,3.250,2770777.0,2767527.0,3250.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,2.914.313,2.903.224,11.089,2914313.0,2903224.0,11089.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(1.025.298),(1.024.814),(484),-1025298.0,-1024814.0,-484.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.889.015,1.878.410,10.605,1889015.0,1878410.0,10605.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(14.084.040),(14.256.251),172.211,-14084040.0,-14256251.0,172211.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.361.487,14.481.675,(120.188),14361487.0,14481675.0,-120188.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(7.802.854),(7.751.273),(51.581),-7802854.0,-7751273.0,-51581.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,6.558.633,6.730.402,(171.769),6558633.0,6730402.0,-171769.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(1.272.578),(1.305.164),32.586,-1272578.0,-1305164.0,32586.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(1.281.387),(1.313.973),32.586,-1281387.0,-1313973.0,32586.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,5.277.246,5.416.429,(139.183),5277246.0,5416429.0,-139183.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,2.443,2.480,(37),2443.0,2480.0,-37.0
Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,5.274.803,5.413.949,(139.146),5274803.0,5413949.0,-139146.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,1.417,1.454,(37),1417.0,1454.0,-37.0
