row_label_raw,row_label_full,col_0,col_1,2019,2018(trình bày lại),numeric__col_1,numeric__2019,numeric__2018(trình bày lại)
I.,I.,I.,"Tổng số cán bộ, công nhân viên (người) (*)",24.105,24.197,,24105.0,24197.0
II.,II.,II.,Thu nhập của nhân viên (triệu đồng),,,,,
II.,II. > II.,II.,1. Tổng quỹ lương,7.769.361,5.822.268,,7769361.0,5822268.0
II.,II. > II.,II.,2. Thu nhập khác,356.255,321.540,,356255.0,321540.0
II.,II. > II.,II.,3. Tổng thu nhập (1+2),8.125.616,6.143.808,,8125616.0,6143808.0
II.,II. > II.,II.,4. Tiền lương bình quân tháng (**),"27,14","20,42",,27.14,20.42
II.,II. > II.,II.,5. Thu nhập bình quân tháng (**),"28,38","21,55",,28.38,21.55
