row_label_raw,row_label_full,col_0,2019triệu đồng,2018triệu đồng(trình bày lại),numeric__2019triệu đồng,numeric__2018triệu đồng(trình bày lại)
Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,Lợi nhuận thuần của chủ sở hữu,9.461.267,5.274.803,9461267.0,5274803.0
"Trích lập các quỹ khen thưởng, phúc lợi dự kiến","Trích lập các quỹ khen thưởng, phúc lợi dự kiến","Trích lập các quỹ khen thưởng, phúc lợi dự kiến",(1.848.981),-,-1848981.0,
Lợi nhuận phân bổ cho cổ đông sở hữucổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữucổ phiếu phổ thông,Lợi nhuận phân bổ cho cổ đông sở hữucổ phiếu phổ thông,7.612.286,5.274.803,7612286.0,5274803.0
Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,Số cổ phiếu phổ thông để tính lãi cơ bản,,
,,,2019Cổ phiếu,2018Cổ phiếu,,
Số cổ phiếu phổ thông đã phát hành đầu nămmang sang,Số cổ phiếu phổ thông để tính lãi cơ bản > Số cổ phiếu phổ thông đã phát hành đầu nămmang sang,Số cổ phiếu phổ thông đã phát hành đầu nămmang sang,3.723.404.556,3.723.404.556,3723404556.0,3723404556.0
Ảnh hưởng của số cổ phiếu đã phát hànhtrong năm,Ảnh hưởng của số cổ phiếu đã phát hànhtrong năm,Ảnh hưởng của số cổ phiếu đã phát hànhtrong năm,-,-,,
Số bình quân gia quyền của cổ phiếuphổ thông để tính lãi cơ bản trên cổ phiếu,Ảnh hưởng của số cổ phiếu đã phát hànhtrong năm > Số bình quân gia quyền của cổ phiếuphổ thông để tính lãi cơ bản trên cổ phiếu,Số bình quân gia quyền của cổ phiếuphổ thông để tính lãi cơ bản trên cổ phiếu,3.723.404.556,3.723.404.556,3723404556.0,3723404556.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,,
,,,2019VND/Cổ phiếu,2018VND/Cổ phiếu(trình bày lại),,
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,2.044,1.417,2044.0,1417.0
