row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Dịch vụ tài chính ngân hàng,Dịch vụ tài chính phi ngân hàng,Khác,Điều chỉnh,Tổng cộng,numeric__Chỉ tiêu_1,numeric__Dịch vụ tài chính ngân hàng,numeric__Dịch vụ tài chính phi ngân hàng,numeric__Khác,numeric__Điều chỉnh,numeric__Tổng cộng
I.,I.,I.,Doanh thu,93.937.633,2.820.803,3.374.765,(520.248),99.612.953,,93937633.0,2820803.0,3374765.0,-520248.0,99612953.0
1.,1.,1.,Doanh thu lãi,82.310.757,471.311,108.634,(147.931),82.742.771,,82310757.0,471311.0,108634.0,-147931.0,82742771.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,82.304.484,451.234,107.494,(120.441),82.742.771,,82304484.0,451234.0,107494.0,-120441.0,82742771.0
,,,- Doanh thu lãi từ nội bộ,6.273,20.077,1.140,(27.490),,,6273.0,20077.0,1140.0,-27490.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,5.799.170,2.270.662,8.557,(190.259),7.888.130,,5799170.0,2270662.0,8557.0,-190259.0,7888130.0
3.,3.,3.,Thu nhập từ hoạt động kinh doanh khác,5.827.706,78.830,3.257.574,(182.058),8.982.052,,5827706.0,78830.0,3257574.0,-182058.0,8982052.0
II.,II.,II.,Chi phí,(69.284.519),(2.548.266),(3.346.942),351.298,(74.828.429),,-69284519.0,-2548266.0,-3346942.0,351298.0,-74828429.0
1.,1.,1.,Chi phí lãi,(49.529.654),(105.484),(56.527),147.931,(49.543.734),,-49529654.0,-105484.0,-56527.0,147931.0,-49543734.0
,,,- Chi phí lãi từ khách hàng bên ngoài,(49.498.945),(15.550),(56.407),27.168,(49.543.734),,-49498945.0,-15550.0,-56407.0,27168.0,-49543734.0
,,,- Chi phí lãi từ nội bộ,(30.709),(89.934),(120),120.763,,,-30709.0,-89934.0,-120.0,120763.0,
2.,2.,2.,Chi phí khấu hao TSCĐ,(957.908),(10.249),(12.384),,(980.541),,-957908.0,-10249.0,-12384.0,,-980541.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(18.796.957),(2.432.533),(3.278.031),203.367,(24.304.154),,-18796957.0,-2432533.0,-3278031.0,203367.0,-24304154.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,24.653.114,272.537,27.823,(168.950),24.784.524,,24653114.0,272537.0,27823.0,-168950.0,24784524.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(12.995.835),2.736,429,(10.861),(13.003.531),,-12995835.0,2736.0,429.0,-10861.0,-13003531.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,11.657.279,275.273,28.252,(179.811),11.780.993,,11657279.0,275273.0,28252.0,-179811.0,11780993.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(2.223.560),(53.040),(9.952),,(2.286.552),,-2223560.0,-53040.0,-9952.0,,-2286552.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,(272),(17.180),,(17.452),,,-272.0,-17180.0,,-17452.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,9.433.719,221.961,1.120,(179.811),9.476.989,,9433719.0,221961.0,1120.0,-179811.0,9476989.0
III.,III.,III.,Tài sản,1.237.114.844,6.879.672,2.946.811,(6.229.852),1.240.711.475,,1237114844.0,6879672.0,2946811.0,-6229852.0,1240711475.0
1.,1.,1.,Tiền mặt,8.247.742,942,34.042,,8.282.726,,8247742.0,942.0,34042.0,,8282726.0
2.,2.,2.,Tài sản cố định,10.850.245,82.389,64.341,,10.996.975,,10850245.0,82389.0,64341.0,,10996975.0
3.,3.,3.,Tài sản khác,1.218.016.857,6.796.341,2.848.428,(6.229.852),1.221.431.774,,1218016857.0,6796341.0,2848428.0,-6229852.0,1221431774.0
IV.,IV.,IV.,Nợ phải trả,1.161.321.168,3.742.167,1.689.074,(3.395.752),1.163.356.657,,1161321168.0,3742167.0,1689074.0,-3395752.0,1163356657.0
1.,1.,1.,Nợ phải trả khách hàng bên ngoài,1.158.851.681,2.432.372,1.658.429,(3.388.949),1.159.553.533,,1158851681.0,2432372.0,1658429.0,-3388949.0,1159553533.0
2.,2.,2.,Nợ phải trả nội bộ,2.469.487,1.309.795,30.645,(6.803),3.803.124,,2469487.0,1309795.0,30645.0,-6803.0,3803124.0
