row_label_raw,row_label_full,col_0,2019triệu đồng,2018triệu đồng(trình bày lai),numeric__2019triệu đồng,numeric__2018triệu đồng(trình bày lai)
"Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí","Chi phí thuế, lệ phí và phí",21.180,27.769,21180.0,27769.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,9.434.827,7.345.648,9434827.0,7345648.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,7.769.361,5.822.268,7769361.0,5822268.0
Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,Các khoản chi đóng góp theo lương,556.683,550.848,556683.0,550848.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,2.994,14.320,2994.0,14320.0
Chi khác,Chi khác,Chi khác,1.105.789,958.212,1105789.0,958212.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,2.280.260,2.350.109,2280260.0,2350109.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,980.541,1.045.077,980541.0,1045077.0
Chi khác về tài sản,Chi khác về tài sản,Chi khác về tài sản,1.299.719,1.305.032,1299719.0,1305032.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,2.950.282,3.293.825,2950282.0,3293825.0
Chi công tác phí,Chi công tác phí,Chi công tác phí,169.947,222.664,169947.0,222664.0
Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,Chi các hoạt động đoàn thể của TCTD,33.359,52.604,33359.0,52604.0
Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,Chi khác cho hoạt động quản lý,2.746.976,3.018.557,2746976.0,3018557.0
Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,Chi bảo hiểm tiền gửi của khách hàng,663.368,629.513,663368.0,629513.0
Chi phí dự phòng,Chi phí dự phòng,Chi phí dự phòng,384.945,437.176,384945.0,437176.0
,,,15.734.862,14.084.040,15734862.0,14084040.0
