row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019triệu đồng,Ngày 31 tháng 12năm 2018triệu đồng(trình bày lại),numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__Ngày 31 tháng 12năm 2018triệu đồng(trình bày lại)
"Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác","Các khoản thu, chi hộ các tổ chức khác",1.477.465,20.933.729,1477465.0,20933729.0
Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,Tiền giữ hộ và chờ thanh toán,150.451,131.942,150451.0,131942.0
Thuế thu nhập doanh nghiệp phải trả/(phải thu),Thuế thu nhập doanh nghiệp phải trả/(phải thu),Thuế thu nhập doanh nghiệp phải trả/(phải thu),619.096,(32.586),619096.0,-32586.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,1.483.731,1.410.283,1483731.0,1410283.0
Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,Phải trả khác liên quan đến nghiệp vụ chứng khoán,635.988,610.398,635988.0,610398.0
Thuế và phí phải trả,Thuế và phí phải trả,Thuế và phí phải trả,311.302,226.737,311302.0,226737.0
Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,Phải trả NHNN do thu hồi nợ đã xóa,92.380,90.046,92380.0,90046.0
Các khoản phải trả liên quan đến hoạt độngtài trợ thương mại,Các khoản phải trả liên quan đến hoạt độngtài trợ thương mại,Các khoản phải trả liên quan đến hoạt độngtài trợ thương mại,6.008,6.005,6008.0,6005.0
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,250.237,860.339,250237.0,860339.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,492.382,306.943,492382.0,306943.0
,,,5.519.040,24.543.836,5519040.0,24543836.0
