row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Vốn chủ sở hữu khác triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ đầu tư phát triển triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Vốn chủ sở hữu khác triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ đầu tư phát triển triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,37.234.046,8.974.710,-,2.597.498,4.823.006,55.835,550.601,9.233.969,295.618,63.765.283,37234046.0,8974710.0,,2597498.0,4823006.0,55835.0,550601.0,9233969.0,295618.0,63765283.0
Lợi nhuận thuần trong năm (trình bày lại),Lợi nhuận thuần trong năm (trình bày lại),Lợi nhuận thuần trong năm (trình bày lại),,,,,,,,5.274.803(834.425),2.443(1.833),5.277.246(1.833),,,,,,,,,,
Trích các quỹ trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Trích các quỹ trong năm,Trích các quỹ trong năm,,,,276.179,547.499,10.747,,,,,,,,276179.0,547499.0,10747.0,,,,
"Trích quỹ khen thưởng, phúc lợi năm 2017","Lợi nhuận thuần trong năm (trình bày lại) > Trích quỹ khen thưởng, phúc lợi năm 2017","Trích quỹ khen thưởng, phúc lợi năm 2017",,,,,,,,(1.702.564),,(1.702.564),,,,,,,,-1702564.0,,-1702564.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,,,66.404,,,,,(66.404),,,,,66404.0,,,,,-66404.0,,
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận thuần trong năm (trình bày lại) > Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,,,,,,,49.001,(49.001),,,,,,,,,49001.0,-49001.0,,
Phân loại lại,Lợi nhuận thuần trong năm (trình bày lại) > Phân loại lại,Phân loại lại,,,141.066,(141.066),,,,,,,,,141066.0,-141066.0,,,,,,
Điều chỉnh khác,Lợi nhuận thuần trong năm (trình bày lại) > Điều chỉnh khác,Điều chỉnh khác,,(12),,,(1.440),(641),,(19.702),(3),(21.798),,-12.0,,,-1440.0,-641.0,,-19702.0,-3.0,-21798.0
Số dư tại ngày 31 tháng 12 năm 2018(trình bày lại),Lợi nhuận thuần trong năm (trình bày lại) > Số dư tại ngày 31 tháng 12 năm 2018(trình bày lại),Số dư tại ngày 31 tháng 12 năm 2018(trình bày lại),37.234.046,8.974.698,207.470,2.732.611,5.369.065,65.941,599.602,11.836.676,296.225,67.316.334,37234046.0,8974698.0,207470.0,2732611.0,5369065.0,65941.0,599602.0,11836676.0,296225.0,67316334.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,,,9.461.267(1.443.104),15.722,,,,,,,,,,15722.0,
Trích các quỹ trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Trích các quỹ trong năm,Trích các quỹ trong năm,,,,477.851,954.582,10.671,,,,,,,,477851.0,954582.0,10671.0,,,,
"Trích quỹ khen thưởng, phúc lợi năm 2018","Lợi nhuận thuần trong năm (trình bày lại) > Trích quỹ khen thưởng, phúc lợi năm 2018","Trích quỹ khen thưởng, phúc lợi năm 2018",,,,,,,,(41.812),(2.927),(44.739),,,,,,,,-41812.0,-2927.0,-44739.0
Tăng vốn bằng cổ phiếu của công ty con trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Tăng vốn bằng cổ phiếu của công ty con trong năm,Tăng vốn bằng cổ phiếu của công ty con trong năm,,,308.438,,,,,,278.444,586.882,,,308438.0,,,,,,278444.0,586882.0
Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Lợi nhuận thuần trong năm (trình bày lại) > Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,Tăng do chuyển đổi báo cáo tài chính cho mục đích hợp nhất,,,,,,,26.412,,,26.412,,,,,,,26412.0,,,26412.0
Sử dụng quỹ DPTC để xử lý rủi ro trong năm,Lợi nhuận thuần trong năm (trình bày lại) > Sử dụng quỹ DPTC để xử lý rủi ro trong năm,Sử dụng quỹ DPTC để xử lý rủi ro trong năm,,,,,(2.220),,,,,(2.220),,,,,-2220.0,,,,,-2220.0
Trả cổ tức năm 2018 cho cổ đông thiểu số,Lợi nhuận thuần trong năm (trình bày lại) > Trả cổ tức năm 2018 cho cổ đông thiểu số,Trả cổ tức năm 2018 cho cổ đông thiểu số,,,,,,,,,(26.124),(26.124),,,,,,,,,-26124.0,-26124.0
Điều chỉnh khác,Lợi nhuận thuần trong năm (trình bày lại) > Điều chỉnh khác,Điều chỉnh khác,,(15),,,1.022,538,,19.656,83,21.284,,-15.0,,,1022.0,538.0,,19656.0,83.0,21284.0
Số dư tại ngày 31 tháng 12 năm 2019,Lợi nhuận thuần trong năm (trình bày lại) > Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,37.234.046,8.974.683,515.908,3.210.462,6.322.449,77.150,626.014,19.832.683,561.423,77.354.818,37234046.0,8974683.0,515908.0,3210462.0,6322449.0,77150.0,626014.0,19832683.0,561423.0,77354818.0
