row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019triệu đồng,Ngày 31 tháng12 năm 2018triệu đồng(trình bày lại),numeric__Ngày 31 tháng 12năm 2019triệu đồng,numeric__Ngày 31 tháng12 năm 2018triệu đồng(trình bày lại)
Vật liệu và công cụ,Vật liệu và công cụ,Vật liệu và công cụ,130.007,167.506,130007.0,167506.0
Chi phí trả trước chờ phân bổ,Chi phí trả trước chờ phân bổ,Chi phí trả trước chờ phân bổ,3.398.502,3.175.473,3398502.0,3175473.0
Lợi thế thương mại (Thuyết minh số 17),Lợi thế thương mại (Thuyết minh số 17),Lợi thế thương mại (Thuyết minh số 17),-,907,,907.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,108.401,61.889,108401.0,61889.0
,,,3.636.910,3.404.868,3636910.0,3404868.0
