row_label_raw,row_label_full,col_0,2019triệu đồng,2018triệu đồng(trình bày lại),numeric__2019triệu đồng,numeric__2018triệu đồng(trình bày lại)
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,7.888.130,5.963.790,7888130.0,5963790.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,3.284.133,2.626.613,3284133.0,2626613.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,131.427,51.398,131427.0,51398.0
Thu phí khác,Thu phí khác,Thu phí khác,4.472.570,3.285.779,4472570.0,3285779.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(3.832.752),(3.193.013),-3832752.0,-3193013.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.827.293),(1.547.393),-1827293.0,-1547393.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(133.299),(47.405),-133299.0,-47405.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(301.880),(282.232),-301880.0,-282232.0
Chi khác,Chi khác,Chi khác,(1.570.280),(1.315.983),-1570280.0,-1315983.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.055.378,2.770.777,4055378.0,2770777.0
