row_label_raw,row_label_full,col_0,Không chịu lãi triệu đồng,Quá hạn,Quá hạn_1,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng công triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng công triệu đồng
,,,Không chịu lãi triệu đồng,Trên 3 tháng triệu đồng,Đến 3 tháng triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",8.282.726,-,-,-,-,-,-,-,-,8.282.726,8282726.0,,,,,,,,,8282726.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,24.873.714,-,-,-,-,-,24.873.714,,,,24873714.0,,,,,,24873714.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,-,102.862.661,24.745.857,1.268.000,512.000,-,-,129.388.518,,,,102862661.0,24745857.0,1268000.0,512000.0,,,129388518.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,4.051.245,-,-,-,-,-,4.051.245,,,,4051245.0,,,,,,4051245.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,469.712,-,-,-,-,-,469.712,,,,469712.0,,,,,,469712.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,10.813.411,5.677.439,379.769.979,259.416.799,211.468.782,57.049.706,9.764.628,1.310.201,935.270.945,,10813411.0,5677439.0,379769979.0,259416799.0,211468782.0,57049706.0,9764628.0,1310201.0,935270945.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),376.615,590.000,-,3.564.564,9.170.993,6.635.239,12.082.002,57.521.779,22.558.430,112.499.622,376615.0,590000.0,,3564564.0,9170993.0,6635239.0,12082002.0,57521779.0,22558430.0,112499622.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",3.282.709,-,-,-,-,-,-,-,-,3.282.709,3282709.0,,,,,,,,,3282709.0
