row_label_raw,row_label_full,col_0,2019triệu đồng,2018triệu đồng(trình bày lại),numeric__2019triệu đồng,numeric__2018triệu đồng(trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu từ nợ xấu đã được xử lý,Thu nhập từ hoạt động khác > Thu từ nợ xấu đã được xử lý,Thu từ nợ xấu đã được xử lý,1.337.954,1.968.711,1337954.0,1968711.0
Thu từ các công cụ tài chính phải sinh khác,Thu nhập từ hoạt động khác > Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,408.870,542.512,408870.0,542512.0
"Thu từ chuyển nhượng, thanh lý tài sản","Thu nhập từ hoạt động khác > Thu từ chuyển nhượng, thanh lý tài sản","Thu từ chuyển nhượng, thanh lý tài sản",139.813,6.084,139813.0,6084.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,470.793,397.006,470793.0,397006.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,
Chi về các công cụ tài chính phải sinh khác,Chi phí cho hoạt động khác > Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(377.461),(450.370),-377461.0,-450370.0
"Chi từ chuyển nhượng, thanh lý tài sản","Chi phí cho hoạt động khác > Chi từ chuyển nhượng, thanh lý tài sản","Chi từ chuyển nhượng, thanh lý tài sản",(1.823),(5.037),-1823.0,-5037.0
Chi phí khác,Chi phí cho hoạt động khác > Chi phí khác,Chi phí khác,(480.711),(569.891),-480711.0,-569891.0
Lãi thuần từ hoạt động khác,Chi phí cho hoạt động khác > Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,1.497.435,1.889.015,1497435.0,1889015.0
