row_label_raw,row_label_full,col_0,"Nhà xuòng, vát kiếnt truc","Máy móc, thiét bi",Phuong tiên vân tai,Thiét bi vân phong,Tài sán khác,VND Tõng cộng,"numeric__Nhà xuòng, vát kiếnt truc","numeric__Máy móc, thiét bi",numeric__Phuong tiên vân tai,numeric__Thiét bi vân phong,numeric__Tài sán khác,numeric__VND Tõng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số dàu nám,Nguyên giá: > Số dàu nám,Số dàu nám,1.586.933.181.908,7.215.624.777.163,535.209.326.578,39.176.631.594,24.006.327.390,9.400.950.244.633,1586933181908.0,7215624777163.0,535209326578.0,39176631594.0,24006327390.0,9400950244633.0
Mua mòi trong nám,Nguyên giá: > Mua mòi trong nám,Mua mòi trong nám,7.593.116.559,158.869.449.407,23.117.332.631,27.235.056.996,325.868.351,217.140.823.944,7593116559.0,158869449407.0,23117332631.0,27235056996.0,325868351.0,217140823944.0
Đàu tu xay dung co bǎn hoàn thanh,Nguyên giá: > Đàu tu xay dung co bǎn hoàn thanh,Đàu tu xay dung co bǎn hoàn thanh,475.011.889.949,1.623.962.482.097,21.474.599.928,17.764.892.742,2.032.223.364,2.140.246.088.080,475011889949.0,1623962482097.0,21474599928.0,17764892742.0,2032223364.0,2140246088080.0
Mua lai tu tāi sân cǒ dinh thuê tai chinh,Nguyên giá: > Mua lai tu tāi sân cǒ dinh thuê tai chinh,Mua lai tu tāi sân cǒ dinh thuê tai chinh,-,46.358.692.169,-,-,-,46.358.692.169,,46358692169.0,,,,46358692169.0
"Thanh ly, nhuong bàn","Nguyên giá: > Thanh ly, nhuong bàn","Thanh ly, nhuong bàn",(7.830.592.579),(109.800.072.370),(103.461.932.049),(19.715.863.913),(105.235.818),(240.913.696.729),-7830592579.0,-109800072370.0,-103461932049.0,-19715863913.0,-105235818.0,-240913696729.0
Số cuói nám,Nguyên giá: > Số cuói nám,Số cuói nám,2.061.707.595.837,8.935.015.328.466,476.339.327.088,64.460.717.419,26.259.183.287,11.563.782.152.097,2061707595837.0,8935015328466.0,476339327088.0,64460717419.0,26259183287.0,11563782152097.0
Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,Trong do:,,,,,,
Đã khái hao hét,Trong do: > Đã khái hao hét,Đã khái hao hét,92.247.652.983,600.058.716.296,23.431.418.049,2.105.761.229,6.807.413.776,724.650.962.333,92247652983.0,600058716296.0,23431418049.0,2105761229.0,6807413776.0,724650962333.0
Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,Giá tri khái hao luy ké:,,,,,,
