row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,148.452.966.532,8.133.090.908,-,156.586.057.440,148452966532.0,8133090908.0,,156586057440.0
Thuê trong năm,Nguyên giá: > Thuê trong năm,Thuê trong năm,43.211.335.189,64.131.771.738,18.636.363.636,125.979.470.563,43211335189.0,64131771738.0,18636363636.0,125979470563.0
Mua lại tài sản,Nguyên giá: > Mua lại tài sản,Mua lại tài sản,(46.358.692.169),-,-,(46.358.692.169),-46358692169.0,,,-46358692169.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,145.305.609.552,72.264.862.646,18.636.363.636,236.206.835.834,145305609552.0,72264862646.0,18636363636.0,236206835834.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(74.148.478.086),(2.447.003.952),-,(76.595.482.038),-74148478086.0,-2447003952.0,,-76595482038.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(30.368.757.978),(5.777.372.078),(209.339.975),(36.355.470.031),-30368757978.0,-5777372078.0,-209339975.0,-36355470031.0
Mua lại tài sản,Giá trị khấu hao lũy kế: > Mua lại tài sản,Mua lại tài sản,16.897.479.726,-,-,16.897.479.726,16897479726.0,,,16897479726.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(87.619.756.338),(8.224.376.030),(209.339.975),(96.053.472.343),-87619756338.0,-8224376030.0,-209339975.0,-96053472343.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,74.304.488.446,5.686.086.956,-,79.990.575.402,74304488446.0,5686086956.0,,79990575402.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,57.685.853.214,64.040.486.616,18.427.023.661,140.153.363.491,57685853214.0,64040486616.0,18427023661.0,140153363491.0
