row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Bên liên quan,Cung cấp dịch vụ,132.000.000,33.000.000,,,132000000.0,33000000.0
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Phải thu ngắn hạn của khách hàng > Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Cung cấp dịch vụ,120.700.972,-,,,120700972.0,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải thu ngắn hạn của khách hàng > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty thuộc chủ sở hữu của Chủ tịch,Bán hàng hóa,1.485.707,451.645.235,,,1485707.0,451645235.0
,,,,,254.186.679,484.645.235,,,254186679.0,484645235.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Phải thu về cho vay ngắn hạn > Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Cho vay,3.660.295.900,-,,,3660295900.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Ông Hoàng Đức Huy,Phải thu ngắn hạn khác > Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Phó Tổng Giám đốc,Ứng trước tiền mua đất,90.183.227.000,90.183.227.000,,,90183227000.0,90183227000.0
Ông Hoàng Đức Huy,Phải thu ngắn hạn khác > Ông Hoàng Đức Huy,Ông Hoàng Đức Huy,Phó Tổng Giám đốc,Phải thu tiền bán đất,1.367.463.256,-,,,1367463256.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Phải thu ngắn hạn khác > Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Lãi cho vay,335.342.389,-,,,335342389.0,
,,,,,91.886.032.645,90.183.227.000,,,91886032645.0,90183227000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Phải trả người bán ngắn hạn > Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành viên Đầu tư Hoa Sen Nghệ An,Bên liên quan,Mua dịch vụ,5.226.877.644,7.017.027.473,,,5226877644.0,7017027473.0
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Phải trả người bán ngắn hạn > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty thuộc sở hữu của Chủ tịch,Mua nguyên vật liệu,4.787.482.661,56.910.755.597,,,4787482661.0,56910755597.0
,,,,,10.014.360.305,63.927.783.070,,,10014360305.0,63927783070.0
