row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.499.966.830.000,151.583.183.521,-,34.535.741.195,1.446.534.555.355,5.132.620.310.071,3499966830000.0,151583183521.0,,34535741195.0,1446534555355.0,5132620310071.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,409.234.037.922,409.234.037.922,,,,,409234037922.0,409234037922.0
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(1.343.000.000),-,-,(1.343.000.000),,,-1343000000.0,,,-1343000000.0
Trả cổ tức bằng cổ phiếu (*),Năm nay > Trả cổ tức bằng cổ phiếu (*),Trả cổ tức bằng cổ phiếu (*),349.936.450.000,-,-,-,(349.936.450.000),-,349936450000.0,,,,-349936450000.0,
Trả cổ tức bằng tiền,Năm nay > Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,-,(349.957.383.000),(349.957.383.000),,,,,-349957383000.0,-349957383000.0
Trích lập quỹ khen thưởng vàphúc lợi,Năm nay > Trích lập quỹ khen thưởng vàphúc lợi,Trích lập quỹ khen thưởng vàphúc lợi,-,-,-,-,(53.266.556.487),(53.266.556.487),,,,,-53266556487.0,-53266556487.0
Trích lập quỹ khác thuộc vốnchủ sở hữu,Năm nay > Trích lập quỹ khác thuộc vốnchủ sở hữu,Trích lập quỹ khác thuộc vốnchủ sở hữu,-,-,-,47.549.876.048,(47.549.876.048),-,,,,47549876048.0,-47549876048.0,
Sử dụng quỹ khác thuộc vốnchủ sở hữu,Năm nay > Sử dụng quỹ khác thuộc vốnchủ sở hữu,Sử dụng quỹ khác thuộc vốnchủ sở hữu,-,-,-,(21.575.866.687),-,(21.575.866.687),,,,-21575866687.0,,-21575866687.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.849.903.280.000,151.583.183.521,(1.343.000.000),60.509.750.556,1.055.058.327.742,5.115.711.541.819,3849903280000.0,151583183521.0,-1343000000.0,60509750556.0,1055058327742.0,5115711541819.0
