row_label_raw,row_label_full,Ông Phạm Đức Hùng,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,Bà Nguyễn Minh Hồi,Phó Tổng Giám đốc,,,
Bà Vũ Thị Xuân Giang,Bà Vũ Thị Xuân Giang,Bà Vũ Thị Xuân Giang,Phó Tổng Giám đốc,(Bổ nhiệm ngày 22/02/2024),,
Ông Nguyễn Anh Hương,Ông Nguyễn Anh Hương,Ông Nguyễn Anh Hương,Phó Tổng Giám đốc,(Miễn nhiệm ngày 26/06/2024),,
