row_label_raw,row_label_full,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_1,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_2,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_3,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_4,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_5,(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_6,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_1,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_2,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_3,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_4,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_5,numeric__(**) Thông tin chi tiết liên quan đến khoản vay dài hạn_6
,,,Lãi suất năm,Thời hạn vay,Mục đích vay,Hình thức bảo đảm,31/12/2024,01/01/2024,,,,,,
,,,Lãi suất năm,Thời hạn vay,Mục đích vay,Hình thức bảo đảm,VND,VND,,,,,,
Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,Bên khác,,,,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Bên khác > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,"7,7%",2025,Mua sắm tài sản,Tài sản,1.271.997.780,1.354.720.000,0.077,2025.0,,,1271997780.0,1354720000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Bên khác > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,"7,7%",2025,Mua sắm tài sản,Tài sản,1.271.997.780,1.354.720.000,0.077,2025.0,,,1271997780.0,1354720000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Bên khác > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,"7,7%",2025,Mua sắm tài sản,Tài sản,(760.053.328),(918.000.000),0.077,2025.0,,,-760053328.0,-918000000.0
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Bên khác > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,"7,7%",2025,Mua sắm tài sản,Tài sản,511.944.452,436.720.000,0.077,2025.0,,,511944452.0,436720000.0
Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,,,,,,
Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,,,,,,
Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,Các khoản vay từ ngân hàng và các tổ chức tín dụng khác được bảo đảm bằng các hợp đồng thể chấp tại với bên cho vay vốn và đã được đăng ký giao dịch bảo đảm đầy đủ.,,,,,,
