row_label_raw,row_label_full,col_0,Công ty Cổ phầnDịch vụ và Đầu tưBất động sản PhốXanh Group,Tổng cộng,numeric__Công ty Cổ phầnDịch vụ và Đầu tưBất động sản PhốXanh Group,numeric__Tổng cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
- Số dư đầu năm,Nguyên giá > - Số dư đầu năm,- Số dư đầu năm,1.522.965.872,1.522.965.872,1522965872.0,1522965872.0
- Số dư cuối năm,Nguyên giá > - Số dư cuối năm,- Số dư cuối năm,1.522.965.872,1.522.965.872,1522965872.0,1522965872.0
Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,Số phân bổ lũy kế,,
- Số dư đầu năm,Số phân bổ lũy kế > - Số dư đầu năm,- Số dư đầu năm,507.655.291,507.655.291,507655291.0,507655291.0
- Số phân bổ trong năm,Số phân bổ lũy kế > - Số phân bổ trong năm,- Số phân bổ trong năm,507.655.291,507.655.291,507655291.0,507655291.0
- Số dư cuối năm,Số phân bổ lũy kế > - Số dư cuối năm,- Số dư cuối năm,1.015.310.582,1.015.310.582,1015310582.0,1015310582.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
- Số dư đầu năm,Giá trị còn lại > - Số dư đầu năm,- Số dư đầu năm,1.015.310.581,1.015.310.581,1015310581.0,1015310581.0
- Số dư cuối năm,Giá trị còn lại > - Số dư cuối năm,- Số dư cuối năm,507.655.290,507.655.290,507655290.0,507655290.0
