row_label_raw,row_label_full,col_0,Hoạt động môi giới bắt động sản,Hoạt động chuyển nhượng bắt động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bắt động sản,numeric__Hoạt động chuyển nhượng bắt động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,894.949.636.018,481.572.942.900,161.480.021.449,1.538.002.600.367,894949636018.0,481572942900.0,161480021449.0,1538002600367.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,734.831.110.931,398.825.452.258,114.912.151.230,1.248.568.714.419,734831110931.0,398825452258.0,114912151230.0,1248568714419.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,160.118.525.087,82.747.490.642,46.567.870.219,289.433.885.948,160118525087.0,82747490642.0,46567870219.0,289433885948.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,73.399.465.697,,,,73399465697.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.229.480.335.108,3.258.966.928.785,445.581.738.541,6.934.029.002.434,3229480335108.0,3258966928785.0,445581738541.0,6934029002434.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,246.680.859.357,,,,246680859357.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,3.229.480.335.108,3.258.966.928.785,445.581.738.541,7.180.709.861.791,3229480335108.0,3258966928785.0,445581738541.0,7180709861791.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,550.886.713.885,214.761.995.436,129.525.876.663,895.174.585.984,550886713885.0,214761995436.0,129525876663.0,895174585984.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,623.925.453.391,,,,623925453391.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,550.886.713.885,214.761.995.436,129.525.876.663,1.519.100.039.375,550886713885.0,214761995436.0,129525876663.0,1519100039375.0
